Invoice Type,Invoice date,Invoice Number,Payment Terms,Due Date,Invoice Amount,Branch
Type,Issue Date,Invoice Number,Terms,Due Date,Open Balance,Class
Bill,2026-02-17 00:00:00,266546,Net 30,46100,2602.1,Seattle
Bill,2026-02-23 00:00:00,6377849-00,Net 30,46106,299.76,Seattle
Bill,2026-02-09 00:00:00,259616 X Partial Shi,1% 10 Net 30,46092,8145,Seattle
Bill,2026-02-11 00:00:00,3141684,Net 30,46094,3399.02,Seattle
Bill,2026-02-13 00:00:00,74485,2% 15 Net 30,46096,615,Seattle
Bill,2026-02-13 00:00:00,74514,2% 15 Net 30,46096,185.99,Seattle
Bill,2026-02-24 00:00:00,75315,2% 15 Net 30,46107,1664.05,Seattle
Bill,2026-02-09 00:00:00,WASE382545,Net 30,46092,120.26,Seattle
Bill,2026-02-12 00:00:00,WASE382595,Net 30,46095,705,Seattle
Bill,2026-02-20 00:00:00,0731026-IN,Net 30,46103,3425.93,Seattle
Bill,2026-02-21 00:00:00,95706454,Net 60,46104,4577.56,Seattle
Bill,2026-02-06 00:00:00,SI-323458,1.5% 10 Net 30,46089,34391.36,Seattle
Bill,2026-02-17 00:00:00,SI324005,1.5% 10 Net 30,46100,20740,Seattle
Bill,2026-02-02 00:00:00,6334,Net 30,46085,7119.4,Seattle
Bill,2026-01-28 00:00:00,CI000067637,Net 30,46080,1709.63,Seattle
Bill,2026-01-30 00:00:00,22922,Net 30,46082,15742.7,Seattle
Bill,2026-02-13 00:00:00,23027,Net 30,46096,5505.4,Seattle
Bill,2026-02-20 00:00:00,23082,Net 30,46103,783,Seattle
Credit,2024-12-17 00:00:00,64197214-00,Immediate,,-204.51,Seattle
Bill,2026-02-02 00:00:00,106247,Net 30,46085,3987,Seattle
Bill,2026-02-10 00:00:00,106510,Net 30,46093,3027.73,Seattle
Bill,2026-02-20 00:00:00,2612580705,2% 30 Net 60,46133,19088.49,Spokane
Bill,2026-02-23 00:00:00,75190,2% 15 Net 30,46106,77.74,Spokane
Bill,2026-01-27 00:00:00,WASE382376,Net 30,46079,3261.5,Spokane
Bill,2026-02-03 00:00:00,SI-323164,Net 30,46086,665,Spokane
Bill,2026-02-06 00:00:00,SI-323461,1.5% 10 Net 30,46089,23935,Spokane
Bill,2026-02-09 00:00:00,SI-322595 X,Net 30,46092,19653.4,Spokane
Bill,2026-02-18 00:00:00,SI-324277,1.5% 10 Net 30,46101,14791.48,Spokane
Bill,2026-02-23 00:00:00,106891,Net 30,46106,3702.62,Spokane
Bill,2026-01-26 00:00:00,106064,Net 30,46078,16473.87,Spokane
Bill,2026-02-06 00:00:00,36365,Net 30,46089,1675,Seattle
Bill,2026-02-10 00:00:00,24483,Net 30,46093,842,Seattle
Credit,2025-12-01 00:00:00,CM494,Immediate,,-1844.66,Seattle
Credit,2025-10-29 00:00:00,247268CR,Immediate,,-250,Seattle
Bill,2026-02-05 00:00:00,95679485 X,Net 60,46088,782.47,Seattle
Bill,2026-02-10 00:00:00,95694260,Net 60,46093,19305.21,Seattle
Bill,2026-02-19 00:00:00,95677611 X_1,Net 60,46102,381.14,Seattle
Bill,2026-02-19 00:00:00,95703964,Net 60,46102,6888.02,Seattle
Bill,2026-01-22 00:00:00,95675799,Net 60,46074,2079.65,Seattle
Bill,2026-02-07 00:00:00,95691703,Net 30,46090,22291.08,Seattle
Bill,2026-02-09 00:00:00,95680246 X,Net 30,46092,1300.5,Seattle
Credit,2025-10-16 00:00:00,03016465CR,Immediate,,-712.86,Seattle
Credit,2025-06-22 00:00:00,374031DUPL,Immediate,,-1308.18,Seattle
Bill,2026-02-02 00:00:00,9000101848X,1% 30 NET 45,46100,1438.08,Seattle
Bill,2026-02-09 00:00:00,9000100465 X,1% 30 NET 45,46107,766.89,Seattle
Bill,2026-02-16 00:00:00,9000117643,1% 30 NET 45,46114,161.97,Seattle
Credit,2026-01-28 00:00:00,CM17011,Immediate,,-776,Seattle
Bill,2026-02-17 00:00:00,802785,Net 60,46130,6728.4,Spokane
Bill,2026-02-17 00:00:00,802786,Net 60,46130,627.6,Spokane
Bill,2026-02-10 00:00:00,95693685,Net 60,46093,1400.12,Spokane
Bill,2026-02-12 00:00:00,95696461,Net 60,46095,11734.07,Spokane
Bill,2026-02-18 00:00:00,9570303023,Net 60,46101,27312.32,Spokane
Bill,2026-01-14 00:00:00,95666360,Net 60,46066,18352,Spokane
Bill,2026-02-10 00:00:00,9000111089_1,1% 30 NET 45,46108,50179.75,Spokane
Bill,2026-02-18 00:00:00,9000119763,1% 30 NET 45,46116,2060.55,Spokane
Bill,2026-02-09 00:00:00,INV264718,Net 60,46122,1544.67,Seattle
Bill,2026-02-02 00:00:00,SI-323005 X,Net 30,46085,1962,Seattle
Bill,2026-02-09 00:00:00,SI-323471,1.5% 10 Net 30,46092,3270.75,Seattle
Bill,2026-02-20 00:00:00,119633M,Net 30,46103,2951.2,Seattle
Bill,2026-02-16 00:00:00,CI000069035,Net 30,46099,509.12,Seattle
Bill,2026-01-28 00:00:00,CI000067639,Net 30,46080,1926.1,Seattle
Bill,2026-02-18 00:00:00,168903,Net 30,46101,5018.19,Seattle
Bill,2026-02-17 00:00:00,INV265786,Net 60,46130,629.1,Spokane
Bill,2026-02-27 00:00:00,24636,Net 30,46110,1734,Seattle
Bill,2026-02-27 00:00:00,24635,Net 30,46110,14019.4,Seattle
Bill,2026-02-09 00:00:00,44320,Net 30,46092,726,Seattle
Bill,2026-02-13 00:00:00,449552,Net 30,46096,280.54,Seattle
Bill,2026-02-18 00:00:00,449158 X,Net 30,46101,777.5,Seattle
Bill,2026-02-23 00:00:00,449609,Net 30,46106,849.4,Seattle
Bill,2026-02-23 00:00:00,449595,Net 30,46106,764.08,Seattle
Bill,2026-02-26 00:00:00,449528,Net 30,46109,32955.5,Seattle
Bill,2026-02-05 00:00:00,9874418,Net 30,46088,149.26,Seattle
Bill,2026-02-11 00:00:00,9879801,2% 10 Net 30,46094,115020,Seattle
Bill,2026-02-13 00:00:00,9881930,2% 10 Net 30,46096,54.12,Seattle
Bill,2026-02-23 00:00:00,9887994,2% 10 Net 30,46106,80.37,Seattle
Bill,2026-01-30 00:00:00,558971,Net 30,46082,3644,Seattle
Bill,2026-02-25 00:00:00,562223,Net 30,46108,4180,Seattle
Bill,2026-02-16 00:00:00,77-004,Net 30,46099,1880,Seattle
Bill,2026-02-18 00:00:00,INV201338,Net 30,46101,2520.5,Seattle
Bill,2026-02-18 00:00:00,INV201344,Net 30,46101,3291,Seattle
Bill,2026-02-02 00:00:00,0465484-IN X,Net 30,46085,137.57,Seattle
Bill,2026-02-05 00:00:00,0465742-IN,Net 30,46088,172.04,Seattle
Bill,2026-02-10 00:00:00,0465957-IN,Net 30,46093,1160.78,Seattle
Bill,2026-02-25 00:00:00,8569,Net 30,46108,19670,Seattle
Bill,2026-02-02 00:00:00,000801837 X,Net 30,46085,3252.6,Seattle
Bill,2026-02-25 00:00:00,80338,Net 60,46138,654.12,Seattle
Bill,2026-02-26 00:00:00,803438,Net 60,46139,447.12,Seattle
Bill,2026-02-26 00:00:00,803459,Net 60,46139,1475.91,Seattle
Bill,2026-02-23 00:00:00,182970400,Net 30,46106,2287,Seattle
Bill,2026-02-26 00:00:00,810307330 X,Net 30,46109,217,Seattle
Bill,2026-02-02 00:00:00,11294X,Net 30,46085,134.04,Seattle
Bill,2026-02-02 00:00:00,11298X,Net 30,46085,248.31,Seattle
Bill,2026-02-13 00:00:00,11324,Net 30,46096,174.83,Seattle
Bill,2026-01-29 00:00:00,95682463,Net 60,46081,867.79,Seattle
Bill,2026-01-29 00:00:00,95682464,Net 60,46081,50,Seattle
Bill,2026-01-29 00:00:00,95682359,Net 60,46081,271.22,Seattle
Bill,2026-01-29 00:00:00,95682293,Net 60,46081,205.07,Seattle
Bill,2026-01-29 00:00:00,95682193,Net 60,46081,1124.6,Seattle
Bill,2026-01-29 00:00:00,95682212,Net 60,46081,528.56,Seattle
Bill,2026-01-29 00:00:00,95681996,Net 60,46081,568.11,Seattle
Bill,2026-01-29 00:00:00,95681654,Net 60,46081,275.85,Seattle
Bill,2026-01-29 00:00:00,95681655,Net 60,46081,8144.73,Seattle
Bill,2026-01-29 00:00:00,95681652,Net 60,46081,328.37,Seattle
Bill,2026-01-29 00:00:00,95681651,Net 60,46081,27.29,Seattle
Bill,2026-01-29 00:00:00,95681741,Net 60,46081,4863.28,Seattle
Bill,2026-01-29 00:00:00,95681742,Net 60,46081,7869.05,Seattle
Bill,2026-01-29 00:00:00,95682399,Net 60,46081,243.19,Seattle
Bill,2026-01-30 00:00:00,95683257,Net 60,46082,512.01,Seattle
Bill,2026-02-02 00:00:00,95682606 X,Net 60,46085,891.79,Seattle
Bill,2026-02-02 00:00:00,95682607X,Net 60,46085,15.15,Seattle
Bill,2026-02-02 00:00:00,95682747X,Net 60,46085,492.98,Seattle
Bill,2026-02-02 00:00:00,95683144X,Net 60,46085,1043.05,Seattle
Bill,2026-02-02 00:00:00,95683342X,Net 60,46085,1051.88,Seattle
Bill,2026-02-02 00:00:00,95683303X,Net 60,46085,1559.61,Seattle
Bill,2026-02-02 00:00:00,95683460X,Net 60,46085,1373.94,Seattle
Bill,2026-02-02 00:00:00,95683422X,Net 60,46085,488.08,Seattle
Bill,2026-02-02 00:00:00,95683723X,Net 60,46085,145.48,Seattle
Bill,2026-02-02 00:00:00,95683806X,Net 60,46085,124.79,Seattle
Bill,2026-02-02 00:00:00,95683805X,Net 60,46085,84.11,Seattle
Bill,2026-02-02 00:00:00,95683956X,Net 60,46085,994.25,Seattle
Bill,2026-02-02 00:00:00,95683928X,Net 60,46085,45888.3,Seattle
Bill,2026-02-02 00:00:00,95684128X,Net 60,46085,283.38,Seattle
Bill,2026-02-02 00:00:00,95684129X,Net 60,46085,521.99,Seattle
Bill,2026-02-02 00:00:00,95684150X,Net 60,46085,739.65,Seattle
Bill,2026-02-02 00:00:00,95684274X,Net 60,46085,78.68,Seattle
Bill,2026-02-02 00:00:00,95684459X,Net 60,46085,146.9,Seattle
Bill,2026-02-02 00:00:00,95684557X,Net 60,46085,1326.61,Seattle
Bill,2026-02-02 00:00:00,95684809,Net 60,46085,1023.47,Seattle
Bill,2026-02-02 00:00:00,95684808,Net 60,46085,4074.24,Seattle
Bill,2026-02-02 00:00:00,95684810,Net 60,46085,4212.3,Seattle
Bill,2026-02-02 00:00:00,95684843,Net 60,46085,1683.15,Seattle
Bill,2026-02-02 00:00:00,95685330,Net 60,46085,252.79,Seattle
Bill,2026-02-02 00:00:00,95685447,Net 60,46085,515.21,Seattle
Bill,2026-02-02 00:00:00,95685104,Net 60,46085,1333.16,Seattle
Bill,2026-02-02 00:00:00,95685827,Net 60,46085,1113.15,Seattle
Bill,2026-02-02 00:00:00,95685770,Net 60,46085,701.77,Seattle
Bill,2026-02-02 00:00:00,95685690,Net 60,46085,817.17,Seattle
Bill,2026-02-02 00:00:00,95685687,Net 60,46085,6838.81,Seattle
Bill,2026-02-02 00:00:00,95685467,Net 60,46085,454.31,Seattle
Bill,2026-02-02 00:00:00,95685033,Net 60,46085,55.2,Seattle
Bill,2026-02-02 00:00:00,95685692,Net 60,46085,852.14,Seattle
Bill,2026-02-02 00:00:00,95685888,Net 60,46085,18074.44,Seattle
Bill,2026-02-02 00:00:00,95685944,Net 60,46085,7066.08,Seattle
Bill,2026-02-03 00:00:00,95686201,Net 60,46086,2232.46,Seattle
Bill,2026-02-03 00:00:00,95635945,Net 60,46086,329.01,Seattle
Bill,2026-02-03 00:00:00,95685879,Net 60,46086,358.56,Seattle
Bill,2026-02-03 00:00:00,95685887,Net 60,46086,1022.94,Seattle
Bill,2026-02-03 00:00:00,95685906,Net 60,46086,56.64,Seattle
Bill,2026-02-03 00:00:00,95687037,Net 60,46086,2147.55,Seattle
Bill,2026-02-03 00:00:00,95687229,Net 60,46086,162.7,Seattle
Bill,2026-02-03 00:00:00,95687099,Net 60,46086,5647.25,Seattle
Bill,2026-02-03 00:00:00,95687038,Net 60,46086,521.59,Seattle
Bill,2026-02-03 00:00:00,95687272,Net 60,46086,181.35,Seattle
Bill,2026-02-03 00:00:00,95687445,Net 60,46086,44001.17,Seattle
Bill,2026-02-04 00:00:00,95687592,Net 60,46087,3101.15,Seattle
Bill,2026-02-04 00:00:00,95687591,Net 60,46087,313.02,Seattle
Bill,2026-02-04 00:00:00,95687807,Net 60,46087,2685.64,Seattle
Bill,2026-02-04 00:00:00,95687671,Net 60,46087,4892.18,Seattle
Bill,2026-02-04 00:00:00,95687880,Net 60,46087,621.15,Seattle
Bill,2026-02-04 00:00:00,95688074,Net 60,46087,159.94,Seattle
Bill,2026-02-04 00:00:00,95688290,Net 60,46087,406.29,Seattle
Bill,2026-02-04 00:00:00,95688379,Net 60,46087,599.68,Seattle
Bill,2026-02-04 00:00:00,95688354,Net 60,46087,1042.62,Seattle
Bill,2026-02-04 00:00:00,95688424,Net 60,46087,3013,Seattle
Bill,2026-02-04 00:00:00,95688549,Net 60,46087,2852.51,Seattle
Bill,2026-02-04 00:00:00,95688706,Net 60,46087,48.57,Seattle
Bill,2026-02-04 00:00:00,95688603,Net 60,46087,1151.35,Seattle
Bill,2026-02-04 00:00:00,95688825,Net 60,46087,3101.35,Seattle
Bill,2026-02-04 00:00:00,95688842,Net 60,46087,215.43,Seattle
Bill,2026-02-05 00:00:00,95689715,Net 60,46088,3883.79,Seattle
Bill,2026-02-05 00:00:00,95689007,Net 60,46088,2254.55,Seattle
Bill,2026-02-05 00:00:00,95689372,Net 60,46088,5957.59,Seattle
Bill,2026-02-05 00:00:00,95689595,Net 60,46088,2323.37,Seattle
Bill,2026-02-05 00:00:00,95689669,Net 60,46088,118.07,Seattle
Bill,2026-02-05 00:00:00,95688950,Net 60,46088,6929.88,Seattle
Bill,2026-02-05 00:00:00,95689933,Net 60,46088,423.03,Seattle
Bill,2026-02-05 00:00:00,95690102,Net 60,46088,957.16,Seattle
Bill,2026-02-05 00:00:00,95690052,Net 60,46088,15633.74,Seattle
Bill,2026-02-05 00:00:00,95690054,Net 60,46088,228.69,Seattle
Bill,2026-02-05 00:00:00,95690053,Net 60,46088,13120.71,Seattle
Bill,2026-02-05 00:00:00,95689971,Net 60,46088,3287.34,Seattle
Bill,2026-02-05 00:00:00,95690206,Net 60,46088,172.12,Seattle
Bill,2026-02-06 00:00:00,95683143 X,Net 60,46089,2104.23,Seattle
Bill,2026-02-06 00:00:00,95685059 X,Net 60,46089,25839.12,Seattle
Bill,2026-02-06 00:00:00,95690483,Net 60,46089,2687.73,Seattle
Bill,2026-02-06 00:00:00,95690696,Net 60,46089,2607.36,Seattle
Bill,2026-02-06 00:00:00,95690773,Net 60,46089,613.26,Seattle
Bill,2026-02-06 00:00:00,95690899,Net 60,46089,593.32,Seattle
Bill,2026-02-06 00:00:00,95690972,Net 60,46089,3567.18,Seattle
Bill,2026-02-06 00:00:00,95691066,Net 60,46089,227.33,Seattle
Bill,2026-02-06 00:00:00,95691081,Net 60,46089,513.18,Seattle
Bill,2026-02-06 00:00:00,95691170,Net 60,46089,494.12,Seattle
Bill,2026-02-06 00:00:00,95691228,Net 60,46089,6589.44,Seattle
Bill,2026-02-06 00:00:00,95691272,Net 60,46089,801.41,Seattle
Bill,2026-02-07 00:00:00,95691702,Net 60,46090,339.48,Seattle
Bill,2026-02-09 00:00:00,95677486 X,Net 60,46092,2840.1,Seattle
Bill,2026-02-09 00:00:00,95691969,Net 60,46092,5612.05,Seattle
Bill,2026-02-09 00:00:00,95692614,Net 60,46092,493.72,Seattle
Bill,2026-02-09 00:00:00,95692932,Net 60,46092,136.46,Seattle
Bill,2026-02-09 00:00:00,95692934,Net 60,46092,193.71,Seattle
Bill,2026-02-09 00:00:00,956952935,Net 60,46092,982.65,Seattle
Bill,2026-02-09 00:00:00,95692978,Net 60,46092,1711.08,Seattle
Bill,2026-02-09 00:00:00,95693160,Net 60,46092,211.75,Seattle
Bill,2026-02-10 00:00:00,95693421,Net 60,46093,1382.78,Seattle
Bill,2026-02-10 00:00:00,95693245,Net 60,46093,556.14,Seattle
Bill,2026-02-10 00:00:00,95693353,Net 60,46093,623.57,Seattle
Bill,2026-02-10 00:00:00,95693552,Net 60,46093,83474.04,Seattle
Bill,2026-02-10 00:00:00,95693558,Net 60,46093,2132.5,Seattle
Bill,2026-02-10 00:00:00,95694015,Net 60,46093,2463.79,Seattle
