0,1,2,3,4,5
PartyNumber,PartyName,Address,City,State,Amount
P-1001,Acme Corp 1,1 Main St,City1,State1,1175.71
P-1002,Acme Corp 2,2 Main St,City2,State2,255.88
P-1003,Acme Corp 3,3 Main St,City3,State3,2357.3
P-1004,Acme Corp 4,4 Main St,City4,State4,2891.34
P-1005,Acme Corp 5,5 Main St,City5,State0,377.63
P-1006,Acme Corp 6,6 Main St,City6,State1,2084.78
P-1007,Acme Corp 7,7 Main St,City7,State2,2345.95
P-1008,Acme Corp 8,8 Main St,City8,State3,1584.62
P-1009,Acme Corp 9,9 Main St,City9,State4,4331.67
P-1010,Acme Corp 10,10 Main St,City10,State0,4441.22
P-1011,Acme Corp 11,11 Main St,City11,State1,3918.41
P-1012,Acme Corp 12,12 Main St,City12,State2,3063.37
P-1013,Acme Corp 13,13 Main St,City13,State3,2832.21
P-1014,Acme Corp 14,14 Main St,City14,State4,1456.78
P-1015,Acme Corp 15,15 Main St,City15,State0,3886.31
P-1016,Acme Corp 16,16 Main St,City16,State1,4915.01
P-1017,Acme Corp 17,17 Main St,City17,State2,3507.54
P-1018,Acme Corp 18,18 Main St,City18,State3,3083.7
P-1019,Acme Corp 19,19 Main St,City19,State4,713.15
P-1020,Acme Corp 20,20 Main St,City0,State0,1879.58
P-1021,Acme Corp 21,21 Main St,City1,State1,2106.64
P-1022,Acme Corp 22,22 Main St,City2,State2,4606.3
P-1023,Acme Corp 23,23 Main St,City3,State3,3497.94
P-1024,Acme Corp 24,24 Main St,City4,State4,4417.25
P-1025,Acme Corp 25,25 Main St,City5,State0,4630.92
P-1026,Acme Corp 26,26 Main St,City6,State1,4571.33
P-1027,Acme Corp 27,27 Main St,City7,State2,1965.46
P-1028,Acme Corp 28,28 Main St,City8,State3,1190.46
P-1029,Acme Corp 29,29 Main St,City9,State4,4068.4
P-1030,Acme Corp 30,30 Main St,City10,State0,3308.15
P-1031,Acme Corp 31,31 Main St,City11,State1,2028.46
P-1032,Acme Corp 32,32 Main St,City12,State2,1630.98
P-1033,Acme Corp 33,33 Main St,City13,State3,4709.42
P-1034,Acme Corp 34,34 Main St,City14,State4,918.44
P-1035,Acme Corp 35,35 Main St,City15,State0,2322.54
P-1036,Acme Corp 36,36 Main St,City16,State1,4724.01
P-1037,Acme Corp 37,37 Main St,City17,State2,4626.77
P-1038,Acme Corp 38,38 Main St,City18,State3,4020.38
P-1039,Acme Corp 39,39 Main St,City19,State4,1618.01
P-1040,Acme Corp 40,40 Main St,City0,State0,3377.43
P-1041,Acme Corp 41,41 Main St,City1,State1,2140.27
P-1042,Acme Corp 42,42 Main St,City2,State2,2197.11
P-1043,Acme Corp 43,43 Main St,City3,State3,1083.23
P-1044,Acme Corp 44,44 Main St,City4,State4,2337.15
P-1045,Acme Corp 45,45 Main St,City5,State0,1678.22
P-1046,Acme Corp 46,46 Main St,City6,State1,2131.25
P-1047,Acme Corp 47,47 Main St,City7,State2,2672.68
P-1048,Acme Corp 48,48 Main St,City8,State3,1477.41
P-1049,Acme Corp 49,49 Main St,City9,State4,2668.4
P-1050,Acme Corp 50,50 Main St,City10,State0,2315.3
P-1051,Acme Corp 51,51 Main St,City11,State1,2709.4
P-1052,Acme Corp 52,52 Main St,City12,State2,1203.79
