PartyNumber,PartyName,Address,City,State,Amount
P-1001,Acme Corp 1,1 Main St,City1,State1,3101.15
P-1002,Acme Corp 2,2 Main St,City2,State2,1302.1
P-1003,Acme Corp 3,3 Main St,City3,State3,4087.91
P-1004,Acme Corp 4,4 Main St,City4,State4,3865.93
P-1005,Acme Corp 5,5 Main St,City5,State0,1683.86
P-1006,Acme Corp 6,6 Main St,City6,State1,2078.8
P-1007,Acme Corp 7,7 Main St,City7,State2,3014.23
P-1008,Acme Corp 8,8 Main St,City8,State3,4397.79
P-1009,Acme Corp 9,9 Main St,City9,State4,400.82
P-1010,Acme Corp 10,10 Main St,City10,State0,736.08
P-1011,Acme Corp 11,11 Main St,City11,State1,3777.99
P-1012,Acme Corp 12,12 Main St,City12,State2,4369.01
P-1013,Acme Corp 13,13 Main St,City13,State3,1836.85
P-1014,Acme Corp 14,14 Main St,City14,State4,4425.88
P-1015,Acme Corp 15,15 Main St,City15,State0,1759.62
P-1016,Acme Corp 16,16 Main St,City16,State1,1124.97
P-1017,Acme Corp 17,17 Main St,City17,State2,806.4
P-1018,Acme Corp 18,18 Main St,City18,State3,1382.89
P-1019,Acme Corp 19,19 Main St,City19,State4,1003.83
P-1020,Acme Corp 20,20 Main St,City0,State0,1886.27
P-1021,Acme Corp 21,21 Main St,City1,State1,2096.51
P-1022,Acme Corp 22,22 Main St,City2,State2,2051.37
P-1023,Acme Corp 23,23 Main St,City3,State3,3633.66
P-1024,Acme Corp 24,24 Main St,City4,State4,2881.46
P-1025,Acme Corp 25,25 Main St,City5,State0,2177.23
P-1026,Acme Corp 26,26 Main St,City6,State1,451.58
P-1027,Acme Corp 27,27 Main St,City7,State2,4605.35
P-1028,Acme Corp 28,28 Main St,City8,State3,3952.02
P-1029,Acme Corp 29,29 Main St,City9,State4,1481.73
P-1030,Acme Corp 30,30 Main St,City10,State0,966.49
P-1031,Acme Corp 31,31 Main St,City11,State1,2428.59
P-1032,Acme Corp 32,32 Main St,City12,State2,3280.69
P-1033,Acme Corp 33,33 Main St,City13,State3,1989.21
P-1034,Acme Corp 34,34 Main St,City14,State4,4512.19
P-1035,Acme Corp 35,35 Main St,City15,State0,4804.21
P-1036,Acme Corp 36,36 Main St,City16,State1,3576.91
P-1037,Acme Corp 37,37 Main St,City17,State2,2037.9
P-1038,Acme Corp 38,38 Main St,City18,State3,1279.17
P-1039,Acme Corp 39,39 Main St,City19,State4,3203.07
P-1040,Acme Corp 40,40 Main St,City0,State0,3991.71
P-1041,Acme Corp 41,41 Main St,City1,State1,1865.69
P-1042,Acme Corp 42,42 Main St,City2,State2,2719.46
P-1043,Acme Corp 43,43 Main St,City3,State3,2141.79
P-1044,Acme Corp 44,44 Main St,City4,State4,1558.34
P-1045,Acme Corp 45,45 Main St,City5,State0,2530.86
P-1046,Acme Corp 46,46 Main St,City6,State1,2448.06
P-1047,Acme Corp 47,47 Main St,City7,State2,4328.56
P-1048,Acme Corp 48,48 Main St,City8,State3,2565.93
P-1049,Acme Corp 49,49 Main St,City9,State4,2230.02
P-1050,Acme Corp 50,50 Main St,City10,State0,605.95
P-1051,Acme Corp 51,51 Main St,City11,State1,4159.28
P-1052,Acme Corp 52,52 Main St,City12,State2,1171.52
P-1053,Acme Corp 53,53 Main St,City13,State3,4901.5
P-1054,Acme Corp 54,54 Main St,City14,State4,2074.98
P-1055,Acme Corp 55,55 Main St,City15,State0,4976.59
P-1056,Acme Corp 56,56 Main St,City16,State1,215.52
P-1057,Acme Corp 57,57 Main St,City17,State2,1591.65
P-1058,Acme Corp 58,58 Main St,City18,State3,4050.69
