Transaction Type,Trx Date,Trx Number/ Cross Ref,Po Number,Customer Name (Only Bill to/ No Ship To),Customer Address,Payment Term,Due Date,Invoice Amount,Salesperson Name,Sales credit percentage
Type,Date,Num,P. O. #,Name,Name Address,Terms,Due Date,Open Balance,,
Invoice,2026-02-06 00:00:00,245224,Microsoft EAT12,Greenheck Fan Corporation,"Attn: Austin Koerner PO Box 410 Schofield, WI 54476",Net 30,2026-03-08 00:00:00,5066.89,House Account,1
Invoice,2026-02-26 00:00:00,246070,Microsoft EAT12,Greenheck Fan Corporation,"Attn: Austin Koerner PO Box 410 Schofield, WI 54476",Net 30,2026-03-28 00:00:00,10439,House Account,1
Invoice,2026-01-29 00:00:00,244299,690185,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-28 00:00:00,250,House Account,1
Invoice,2026-01-29 00:00:00,244299-1,690185,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-28 00:00:00,55.28,House Account,1
Invoice,2026-01-29 00:00:00,244299-2,690185,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-28 00:00:00,81.34,House Account,1
Invoice,2026-01-29 00:00:00,244776-1,25-484,Enviromech:Enviromech - Special Projects,"430 SW 153rd St Burien, WA 98166 USA",Net 30,2026-02-28 00:00:00,123.65,House Account,1
Invoice,2026-01-29 00:00:00,244776,25-484,Enviromech:Enviromech - Special Projects,"430 SW 153rd St Burien, WA 98166 USA",Net 30,2026-02-28 00:00:00,77.46,House Account,1
Invoice,2026-01-29 00:00:00,244706,670505,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-28 00:00:00,123,House Account,1
Invoice,2026-01-29 00:00:00,244704,670145,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-28 00:00:00,430.48,House Account,1
Invoice,2026-01-29 00:00:00,244625,689703,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-28 00:00:00,602.8,House Account,1
Invoice,2026-01-29 00:00:00,244382,305597,Vital Mechanical Service:Vit-Vital Mechanical Special Projects,"1420 Maple Ave SW Renton, WA 98057 USA",Net 30,2026-02-28 00:00:00,32.12,House Account,1
Invoice,2026-01-29 00:00:00,244382-1,305597,Vital Mechanical Service:Vit-Vital Mechanical Special Projects,"1420 Maple Ave SW Renton, WA 98057 USA",Net 30,2026-02-28 00:00:00,217.36,House Account,1
Invoice,2026-01-29 00:00:00,244695,60940726,Acco Engineered Systems (401856):ACC-ACCO Small Projects (401856),"C/o Dorse & Company 5000 1st Ave S Seattle, WA 98134",Net 30,2026-02-28 00:00:00,99,House Account,1
Invoice,2026-01-29 00:00:00,244666,Klee Lofts,Farrington Air Quality Services,"PO Box 760 Sumner, WA 98390 USA",Net 30,2026-02-28 00:00:00,240.06,House Account,1
Invoice,2026-01-29 00:00:00,244624,689898,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-28 00:00:00,264,House Account,1
Invoice,2026-01-29 00:00:00,244637,706608,Key Mechanical - WA:Key-Small Projects,"19430 68Th Ave S Suite B Kent, WA 98032",Net 30,2026-02-28 00:00:00,57.49,House Account,1
Invoice,2026-01-29 00:00:00,244721,690477,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-28 00:00:00,402,House Account,1
Invoice,2026-01-29 00:00:00,244636,706544,Key Mechanical - WA:Key-Small Projects,"19430 68Th Ave S Suite B Kent, WA 98032",Net 30,2026-02-28 00:00:00,1160,House Account,1
Invoice,2026-01-29 00:00:00,244592,689555,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-28 00:00:00,736,House Account,1
Invoice,2026-01-29 00:00:00,244738,2333-2720,Ocean Park Mechanical Inc:OCE-1200 Stewart,"2428 King George Boulevard Surrey, BC V4P 1H5 CANADA",Net 30,2026-02-28 00:00:00,1255.8,House Account,1
Invoice,2026-01-29 00:00:00,244581,25-696-RM,Enviromech:Enviromech - Special Projects,"430 SW 153rd St Burien, WA 98166 USA",Net 30,2026-02-28 00:00:00,280,House Account,1
Invoice,2026-01-29 00:00:00,244755,689813,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-28 00:00:00,1630,House Account,1
Invoice,2026-01-29 00:00:00,243065,680993,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-28 00:00:00,4375,House Account,1
Invoice,2026-01-30 00:00:00,244759,26029194,McKinstry Company:McK-Special Projects,"PO Box 24406 Seattle, WA 98124 USA",Net 30,2026-03-01 00:00:00,422,House Account,1
Invoice,2026-01-30 00:00:00,244553,690624,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-01 00:00:00,32.74,House Account,1
Invoice,2026-01-30 00:00:00,244760,690628,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-01 00:00:00,157.6,House Account,1
Invoice,2026-01-30 00:00:00,243743,685283,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-01 00:00:00,243.91,House Account,1
Invoice,2026-01-30 00:00:00,244230,Good Samaritan Kitchen,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-01 00:00:00,19.86,House Account,1
Invoice,2026-01-30 00:00:00,244598,26026068,McKinstry Company:McK-Special Projects,"PO Box 24406 Seattle, WA 98124 USA",Net 30,2026-03-01 00:00:00,3086.66,House Account,1
Invoice,2026-01-30 00:00:00,244857,Klee Lofts,Farrington Air Quality Services,"PO Box 760 Sumner, WA 98390 USA",Net 30,2026-03-01 00:00:00,120,House Account,1
Invoice,2026-01-30 00:00:00,244794,25357078,McKinstry Company:MCK-Block 38 TI,"PO Box 24406 Seattle, WA 98124 USA",Net 30,2026-03-01 00:00:00,1580.46,House Account,1
Invoice,2026-01-30 00:00:00,244379,687845,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-01 00:00:00,17.04,House Account,1
Invoice,2026-01-30 00:00:00,244627,689895,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-01 00:00:00,160,House Account,1
Invoice,2026-01-30 00:00:00,244139-1,26014163,McKinstry Company:McK-Special Projects,"PO Box 24406 Seattle, WA 98124 USA",Net 30,2026-03-01 00:00:00,901,House Account,1
Invoice,2026-01-30 00:00:00,244565,101650-22974,Rainier Metal Works:Rainier Metal Works-Special Projects,"9322 14th Ave South Seattle, WA 98108 USA",Net 30,2026-03-01 00:00:00,1984.83,House Account,1
Invoice,2026-01-30 00:00:00,244769,690214,"MacDonald-Miller Facility Solutions, Inc.:MAC-SpaceX","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-01 00:00:00,1639.1,House Account,1
Invoice,2026-01-30 00:00:00,244782,690343,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-01 00:00:00,168,House Account,1
Invoice,2026-01-30 00:00:00,244748,690046,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-01 00:00:00,4790,House Account,1
Invoice,2026-01-30 00:00:00,244817,707064,Key Mechanical - WA,"19430 68Th Ave S Suite B Kent, WA 98032",Net 30,2026-03-01 00:00:00,101.53,House Account,1
Invoice,2026-01-30 00:00:00,244709,25-641,Enviromech:Enviromech - Special Projects,"430 SW 153rd St Burien, WA 98166 USA",Net 30,2026-03-01 00:00:00,188.4,House Account,1
Invoice,2026-01-30 00:00:00,244825-1,690459,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-01 00:00:00,85.08,House Account,1
Invoice,2026-01-30 00:00:00,244825,690459,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-01 00:00:00,80.14,House Account,1
Invoice,2026-01-30 00:00:00,244741,26029102,McKinstry Company:McK-Special Projects,"PO Box 24406 Seattle, WA 98124 USA",Net 30,2026-03-01 00:00:00,151.27,House Account,1
Invoice,2026-01-30 00:00:00,244821,305598,Vital Mechanical Service:Vit-Vital Mechanical Special Projects,"1420 Maple Ave SW Renton, WA 98057 USA",Net 30,2026-03-01 00:00:00,492,House Account,1
Invoice,2026-01-30 00:00:00,244752,25357078,McKinstry Company:MCK-Block 38 TI,"PO Box 24406 Seattle, WA 98124 USA",Net 30,2026-03-01 00:00:00,140,House Account,1
Invoice,2026-01-30 00:00:00,244859,690606,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-01 00:00:00,48.16,House Account,1
Invoice,2026-01-30 00:00:00,243618,690143,"MacDonald-Miller Facility Solutions, Inc.:MAC-SpaceX","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-01 00:00:00,3915.56,House Account,1
Invoice,2026-01-30 00:00:00,243618-1,690143,"MacDonald-Miller Facility Solutions, Inc.:MAC-SpaceX","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-01 00:00:00,1083.3,House Account,1
Invoice,2026-01-30 00:00:00,243618-2,690143,"MacDonald-Miller Facility Solutions, Inc.:MAC-SpaceX","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-01 00:00:00,194.25,House Account,1
Invoice,2026-01-30 00:00:00,243618-3,690143,"MacDonald-Miller Facility Solutions, Inc.:MAC-SpaceX","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-01 00:00:00,180,House Account,1
Invoice,2026-01-30 00:00:00,244324,687417,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-01 00:00:00,332,House Account,1
Invoice,2026-02-02 00:00:00,244522,26023148,McKinstry Company:MCK-SEA06 Arbor Blocks,"PO Box 24406 Seattle, WA 98124 USA",Net 30,2026-03-04 00:00:00,17,House Account,1
Invoice,2026-02-02 00:00:00,244684,689862,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-04 00:00:00,4300,House Account,1
Invoice,2026-02-02 00:00:00,244325,26023024,McKinstry Company:McK-Special Projects,"PO Box 24406 Seattle, WA 98124 USA",Net 30,2026-03-04 00:00:00,2610,House Account,1
Invoice,2026-02-02 00:00:00,244749,689478,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-04 00:00:00,2054.97,House Account,1
Invoice,2026-02-02 00:00:00,244236-1,2201,Ocean Park Mechanical Inc:OCE-Seattle House Apartments,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",Net 30,2026-03-04 00:00:00,700,House Account,1
Invoice,2026-02-03 00:00:00,244236-2,2201,Ocean Park Mechanical Inc:OCE-Seattle House Apartments,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",Net 30,2026-03-05 00:00:00,750,House Account,1
Invoice,2026-02-03 00:00:00,243876,26008166,McKinstry Company:McK-Special Projects,"PO Box 24406 Seattle, WA 98124 USA",Net 30,2026-03-05 00:00:00,3015,House Account,1
