Branch,Customer,Start Date,Finish Date,Project Name,Project Type,Project Unit,Quote Number,Contract Type,Project Number,Project Status,Distribution To,Project Manager,Cost Per Trip/Day,Product Estimated,Project Description,Project Ledger Currency,Operating Company (OpCo)
Richmond-C&J-Services,THALHIMER,2026-03-01,2027-05-01,1701 Fall Hill SA 26-27,CJBS_Billable Project Type,CJBS PU,0126-6906,Service Contract,0126-6906,Active,CONTRACTOR,"Halferty, April",87,Tridium,"1701 Fall Hill Ave Fredericksburg, VA 22401",USD,CJBS
Richmond-C&J-Building Automation,COMFORT SYSTEMS INC,2025-04-01,2027-05-31,ABB Regen Test Bay,CJBS_Billable Project Type,CJBS PU,0125-5992,New Construction,0125-5992,Active,CONTRACTOR,"Suttles, Jonathan",44.5,Custom Panel,"5900 Eastport Blvd Richmond, VA 23231",USD,CJBS
Richmond-C&J-Services,ALBEMARLE CHARLOTTESVILLE REGIONAL JAIL,2025-12-01,2026-12-01,ACRJ Service Contract Renewal 25-26,CJBS_Billable Project Type,CJBS PU,0126-7065,Service Contract,0126-7065,Active,CONTRACTOR,"Halferty, April",87,,"160 Peregory Lane  Charlottesville, VA 22902",USD,CJBS
Richmond-C&J-Building Automation,HOBBS & ASSOCIATES,2025-04-01,2027-01-01,Albemarle Co HS Center - Annexair Unit Controls,CJBS_Billable Project Type,CJBS PU,0125-6573,Renovation,0125-6573,Active,CONTRACTOR,"Suttles, Jonathan",151.3,Schneider AS-B,"2775 Hydraulic Road  Charlottesville, VA",USD,CJBS
Richmond-C&J-Services,BURGESS & NIPLE INC,2026-05-01,2027-01-01,Atlantic Park_Dome Program Mods May26,CJBS_Billable Project Type,CJBS PU,0126-7378,Service Quoted,0126-7378,Active,CONTRACTOR,"Martinez, Joseph",139.2,Schneider,"400 20th St. Virginia Beach, VA 23451",USD,CJBS
Richmond-C&J-Building Automation,HOWELL'S HEATING & AIR,2024-10-01,2027-01-01,Avon Operations Center,CJBS_Billable Project Type,CJBS PU,0124-5586,New Construction,0124-5586,Active,CONTRACTOR,"Tees, Jason",94.8295,Schneider,"1741 Avon Street Extended  Charlottesville, VA 22902",USD,CJBS
Richmond-C&J-Building Automation,ATLANTIC CONSTRUCTORS INC,2025-02-01,2026-08-01,BSMH - ORC HVAC Upgrades,CJBS_Billable Project Type,CJBS PU,0125-6136,Renovation,0125-6136,Active,CONTRACTOR,"Flagg, Daniel",22.04785929,JCI FX or Schneider Tridium,"2521 Brittons Hill Road  Richmond, VA 23230",USD,CJBS
Richmond-C&J-Building Automation,WARWICK MECHANICAL GROUP,2025-07-01,2026-11-01,BSMH RGH Lab Equip PH2,CJBS_Billable Project Type,CJBS PU,0125-6737,Renovation,0125-6737,Active,CONTRACTOR,"Flagg, Daniel",178,Tridium / Schneider,"101 HARRIS ROAD KILMARNOCK, VA 22482",USD,CJBS
Richmond-C&J-Building Automation,WARWICK MECHANICAL GROUP,2024-11-01,2027-07-01,BSMH RGH Patient Wing Renovation,CJBS_Billable Project Type,CJBS PU,0124-5395,Renovation,0124-5395,Active,CONTRACTOR,"Flagg, Daniel",121.6990758,Tridium Schneider,"101 Harris Road  Kilmarnock, VA 22482",USD,CJBS
Richmond-C&J-Building Automation,M&E CONTRACTORS,2025-08-01,2027-02-01,BSMH Short Pump ASC,CJBS_Billable Project Type,CJBS PU,0125-6027,New Construction,0125-6027,Active,CONTRACTOR,"Flagg, Daniel",44.5,Schneider Tridium,"12320 West Broad St.  Henrico, VA 23233",USD,CJBS
Richmond-C&J-Building Automation,M&E CONTRACTORS,2026-02-01,2027-04-01,BSMH St Francis MOB - ASC,CJBS_Billable Project Type,CJBS PU,0126-6593,New Construction,0126-6593,Active,CONTRACTOR,"Flagg, Daniel",44.5,Schneider Tridium,"13701 Bon Secours Drive  Midlothian, VA 23114",USD,CJBS
Richmond-C&J-Building Automation,HOWELL'S HEATING & AIR,2025-12-01,2026-12-01,BSMH St Francis MOB 2nd 3rd Fitout,CJBS_Billable Project Type,CJBS PU,0125-6879,New Construction,0125-6879,Active,CONTRACTOR,"Flagg, Daniel",44.5,SE - Tridium,"13701 Bon Secours Drive  Midlothian, VA 23114",USD,CJBS
Richmond-C&J-Building Automation,M&E CONTRACTORS,2025-08-01,2026-11-01,BSMH St. Francis MOB Core Shell,CJBS_Billable Project Type,CJBS PU,0125-6047,New Construction,0125-6047,Active,CONTRACTOR,"Flagg, Daniel",56.22625286,Schneider Tridium,"13701 Bon Secours Drive  Richmond, VA 23114",USD,CJBS
Richmond-C&J-Services,MILLER MECHANICAL,2026-03-01,2027-01-01,BSMH St. Marys MOB N OPIC,CJBS_Billable Project Type,CJBS PU,0126-7134,Service Quoted,0126-7134,Active,CONTRACTOR,"Seay, Kyle",62.3,SE Tridium,"5855 Bremo Road, Suite 605  Richmond, VA 23226",USD,CJBS
Richmond-C&J-Services,BROOKS FAMILY YMCA,2025-11-01,2027-01-01,Brooks YMCA,CJBS_Billable Project Type,CJBS PU,0125-6775,Service Contract,0125-6775,Active,CONTRACTOR,"Halferty, April",87,,"151 McIntire Park Drive Charlottesville, VA 22902",USD,CJBS
Richmond-C&J-Building Automation,GREEN AIR,2024-03-01,2027-02-01,Buckingham WWTP,CJBS_Billable Project Type,CJBS PU,0124-5263,New Construction,0124-5263,Active,CONTRACTOR,"Dodd, Sean",139.2,Wiring Only,"VA-20 Dillwyn, VA 23936",USD,CJBS
