Account Desc,Source Branch,Source Entity,Account Number,Source Account #,Branch Description,Source Description,Source Product Line,Product Line Description
Bank Clearing,0,Etairos,10510,1040,Headquarters,Bank Clearing,0,Equipment
Petty Cash,0,Etairos,10500,1045,Headquarters,Petty Cash,0,Equipment
Prepaid expenses,0,Etairos,13010,1050,Headquarters,Prepaid Income Tax,0,Equipment
Prepaid expenses,0,Etairos,13010,1050,Headquarters,Prepaid Tax,0,Equipment
Allowance for doubt accounts,0,Etairos,11499,1055,Headquarters,Allowance For Doubtful Accts,0,Equipment
Other receivables,0,Etairos,11250,1080,Headquarters,Receivable From Gs Real Estate 09/2023,0,General/HQ
Other receivables,0,Etairos,11250,1081,Headquarters,Receivable From Gs Automation,0,Equipment
Intercompany,0,Etairos,19000,1082,Headquarters,Interco Gsi,0,Equipment
Intercompany,0,Etairos,19000,1083,Headquarters,Interco Mwg,0,Equipment
Intercompany,0,Etairos,19000,1084,Headquarters,Interco Dts,0,Equipment
Trade accounts receivable,0,Etairos,11010,1100,Headquarters,Receivable Other:,0,Equipment
Trade accounts receivable,0,Etairos,11010,1110,Headquarters,Accounts Receivable:,0,Equipment
Trade accounts receivable,0,Etairos,11010,1111,Headquarters,Ar-Gs,0,Equipment
Trade accounts receivable,0,Etairos,11010,1112,Headquarters,Ar-Mwg,0,Equipment
Allowance for doubt accounts,0,Etairos,11499,1113,Headquarters,Accts Rec Allow For Bad Debt,0,Equipment
Trade accounts receivable,0,Etairos,11010,1115,Headquarters,Accts Receivable Ford,0,Equipment
Employee Advances,0,Etairos,13090,1120,Headquarters,Employee Loans,0,Equipment
Other receivables,0,Etairos,11250,1130,Headquarters,Receivable From Stockholder,0,Equipment
Revenue,2,Etairos,40100,4020,Jackson,Service Labor Jackson,2,Service
Trade accounts receivable,0,Etairos,11010,1150,Headquarters,Retainage Receivable,0,Equipment
Trade accounts receivable,1,Etairos,11010,1150,Memphis,Retainage,0,Equipment
Trade accounts receivable,0,Etairos,11010,1150,Headquarters,Retainage,1,Equipment
Revenue,1,Etairos,40100,4025,Memphis,Sales Hydronics Memphis,1,Hydronic
Notes Receivable,0,Etairos,11510,1160,Headquarters,Note Receivable-Greg Brown,0,Equipment
STATE BANK MISS,0,Etairos,10043,1010,Headquarters,State Bank Miss,0,Equipment
Trade accounts receivable,0,Etairos,11010,1014,Headquarters,Ap Debits Reclass To Asset,0,Equipment
GUARANTY BANK OPERATING,0,Etairos,10044,1020,Headquarters,Guaranty Bank Operating,0,Equipment
GUARANTY BANK PAYROLL,0,Etairos,10045,1021,Headquarters,Guaranty Bank Payroll,0,Equipment
GUARANTY BANK CREDIT CARD,0,Etairos,10046,1022,Headquarters,Guaranty Bank Credit Card,0,Equipment
GUARANTY BANK MONEY MARKET,0,Etairos,10047,1023,Headquarters,Guaranty Bank Money Market,0,Equipment
CIB REC-GS,0,Etairos,10048,1024,Headquarters,Cib Rec-Gs,0,Equipment
CIB RECE-MWG,0,Etairos,10049,1025,Headquarters,Cib Rece-Mwg,0,Equipment
GUARANTY SWEEP ACCOUNT,0,Etairos,10081,1026,Headquarters,Guaranty Sweep Account,0,Equipment
Cash: Outstanding Checks,0,Etairos,10232,1028,Headquarters,Cash: Outstanding Checks,0,Equipment
IBERIABANK OPERATING,0,Etairos,10082,1030,Headquarters,Iberiabank Operating,0,Equipment
IBERIABANK PAYROLL,0,Etairos,10083,1036,Headquarters,Iberiabank Payroll,0,Equipment
IBERIABANK CREDIT CARD,0,Etairos,10050,1037,Headquarters,Iberiabank Credit Card,0,Equipment
IBERIABANK MONEY MARKET,0,Etairos,10084,1038,Headquarters,Iberiabank Money Market,0,Equipment
Prepaid expenses,0,Etairos,13010,1170,Headquarters,Deferred Charges,0,Equipment
Inventory,0,Etairos,12000,1180,Headquarters,Inventory,0,Equipment
Inventory,1,Etairos,12000,1180,Memphis,Inventory Equipment Mph,1,Equipment
Inventory,2,Etairos,12000,1180,Jackson,Inventory Service Memphis,1,Equipment
Inventory,3,Etairos,12000,1180,Arkansas,Inventory: Parts Memphis,1,Equipment
Inventory,4,Etairos,12000,1180,Headquarters,Inventory Ad Memphis,1,Equipment
Inventory,1,Etairos,12000,1180,Memphis,Inventory Service Memphis,2,Service
Inventory,2,Etairos,12000,1180,Jackson,Inventory Service Jackson,2,Service
Inventory,3,Etairos,12000,1180,Arkansas,Inventory Parts Jackson,2,Service
Inventory,1,Etairos,12000,1180,Memphis,Inventory: Parts Memphis,3,Parts
Inventory,2,Etairos,12000,1180,Jackson,Inventory Parts Jackson,3,Parts
Inventory,3,Etairos,12000,1180,Arkansas,Inventroy Parts Little Rock,3,Parts
Inventory,1,Etairos,12000,1180,Memphis,Inventory Ad Memphis,4,General/HQ
Inventory Reserve,0,Etairos,12070,1185,Headquarters,Inventory Reserve,0,Equipment
Inventory,0,Etairos,12000,1190,Headquarters,Inventory Clearing,0,Equipment
Inventory,3,Etairos,12000,1190,Arkansas,Inventory Clearing-Memphis,1,Equipment
Inventory,3,Etairos,12000,1190,Arkansas,Inventory Clearing - Jackson,2,Service
Inventory,0,Etairos,12000,1200,Headquarters,Non Stock Clearing:,0,Equipment
Leasehold Improvement,0,Etairos,14250,1210,Headquarters,Leasehold Improvements,0,Equipment
Building,0,Etairos,14125,1215,Headquarters,Construction In Process,0,Equipment
A/D Leasehold imprvmts,0,Etairos,14750,1220,Headquarters,Accum Depreciation,0,Equipment
A/D Leasehold imprvmts,0,Etairos,14750,1220,Headquarters,Accum Deprn - Leasehold Impr,0,Equipment
Furniture/fixtures,0,Etairos,14150,1250,Headquarters,Equipment & Furnishings,0,Equipment
A/D Furniture/fixtures,0,Etairos,14650,1260,Headquarters,Accum Deprn - Equipment & Furn,0,Equipment
A/D Furniture/fixtures,0,Etairos,14650,1260,Headquarters,Dnu Accum Deprn -,0,Equipment
Other Current Assets,0,Etairos,13900,1265,Headquarters,Accruals,0,Equipment
Vehicles,0,Etairos,14200,1300,Headquarters,Autos:,0,Equipment
AD Vehicles,0,Etairos,14700,1310,Headquarters,Accum Deprn - Autos,0,Equipment
AD Vehicles,0,Etairos,14700,1310,Headquarters,Dnu Accum Deprn,0,Equipment
Prepaid expenses,0,Etairos,13010,1400,Headquarters,Prepaid Hobbs Expense,0,Equipment
