Unnamed: 0,Transaction Type,Trx Date,Trx Number/ Cross Ref,Po Number,Customer Name (Only Bill to/ No Ship To),Customer Address,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Payment Term,Due Date,Unnamed: 14,Unnamed: 15,Invoice Amount,Unnamed: 17,Salesperson Name,Sales credit percentage,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,Type,Date,Num,P. O. #,Name,Name Address,Name Street1,Name Street2,Name City,Name State,Name Zip,Terms,Due Date,Class,Aging,Open Balance,S. O. #,,,,,Source Account #,Source Description,,,,Oracle BU,Oracle Branch,Oracle LOB,Oracle Dept,Oracle Account,Oracle IC Partner,Oracle Addback,Oracle Prod Line,Oracle Future,,Oracle GL String
,Invoice,2026-02-06 00:00:00,245224,Microsoft EAT12,Greenheck Fan Corporation,"Attn: Austin Koerner PO Box 410 Schofield, WI 54476",Attn: Austin Koerner,PO Box 410,Schofield,WI,54476,Net 30,2026-03-08 00:00:00,Seattle,22,5066.89,245224,House Account,1.0,,,4001,4001 · Commissions From Factories,,,,1510,1601,100,000,411000,0000,000,2015,0000,,
,Invoice,2026-02-26 00:00:00,246070,Microsoft EAT12,Greenheck Fan Corporation,"Attn: Austin Koerner PO Box 410 Schofield, WI 54476",Attn: Austin Koerner,PO Box 410,Schofield,WI,54476,Net 30,2026-03-28 00:00:00,Seattle,2,10439,246070,House Account,1.0,,,4001,4001 · Commissions From Factories,,,,1510,1601,100,000,411000,0000,000,2015,0000,,
,Invoice,2026-01-29 00:00:00,244299,690185,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-02-28 00:00:00,Seattle,30,197.9,244299,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-29 00:00:00,244299-1,690185,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-02-28 00:00:00,Seattle,30,55.28,244299,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-29 00:00:00,244299-2,690185,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-02-28 00:00:00,Seattle,30,81.34,244299,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-29 00:00:00,244776-1,25-484,Enviromech:Enviromech - Special Projects,"430 SW 153rd St Burien, WA 98166 USA",430 SW 153rd St,,Burien,WA,98166,Net 30,2026-02-28 00:00:00,Seattle,30,123.65,244776,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-29 00:00:00,244776,25-484,Enviromech:Enviromech - Special Projects,"430 SW 153rd St Burien, WA 98166 USA",430 SW 153rd St,,Burien,WA,98166,Net 30,2026-02-28 00:00:00,Seattle,30,77.46,244776,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-29 00:00:00,244706,670505,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-02-28 00:00:00,Seattle,30,90.35,244706,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-29 00:00:00,244704,670145,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-02-28 00:00:00,Seattle,30,430.48,244704,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-29 00:00:00,244625,689703,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-02-28 00:00:00,Seattle,30,602.8,244625,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-29 00:00:00,244382,305597,Vital Mechanical Service:Vit-Vital Mechanical Special Projects,"1420 Maple Ave SW Renton, WA 98057 USA",1420 Maple Ave SW,,Renton,WA,98057,Net 30,2026-02-28 00:00:00,Seattle,30,32.12,244382,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
