PARTY_NAME,PARTY_NUMBER,PARTY_SITE_ID,SITE_USE_ID,SITE_USE_CODE,PARTY_ID,ACCOUNT_NUMBER,ACCOUNT_NAME,CUST_ACCOUNT_ID,ACCOUNT_STATUS,PARTY_SITE_NUMBER,PARTY_SITE_STATUS,START_DATE,END_DATE,PRIMARY_FLAG,BILL_TO_FLAG,SHIP_TO_FLAG,LOCATION,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,CITY,POSTAL_CODE,STATE,COUNTRY,row_number
ENGINEERING RESOURCE GROUP,15281,100000046346021,100000046354691,BILL_TO,100000046340137,3424,ENGINEERING RESOURCE GROUP,100000046349051,A,16942,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6378,350 EDGEWOOD TERRACE DR,,,,JACKSON,39206,TN,US,
HIGH POINT CLIMBING LLC,15282,100000046345728,100000046354692,BILL_TO,100000046340138,3752,HIGH POINT CLIMBING LLC,100000046349379,A,16649,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6379,21 N HUMPHREYS BLVD,,,,MEMPHIS,38120,TN,US,
EDGE AIR CONDITIONING,15283,100000046345185,100000046353285,BILL_TO,100000046340139,3753,EDGE AIR CONDITIONING,100000046349380,A,16106,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,4972,PO BOX 80,,,,POOLER,31322,GA,US,
HU HOTEL,15284,100000046344934,100000046353392,BILL_TO,100000046340140,3428,HU HOTEL,100000046349055,A,15855,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5079,79 MADISON AVE,,,,MEMPHIS,38103,TN,US,
ATLAS TUBE OF ARKANSAS,15285,100000046345734,100000046354284,BILL_TO,100000046340141,4481,ATLAS TUBE OF ARKANSAS,100000046350108,A,16655,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5971,6651 E STATE HWY 137,,,,BLYTHEVILLE,72315,AR,US,
BLUFF CITY REFRIGERATION INC,15286,100000046345442,100000046355277,BILL_TO,100000046340142,3983,BLUFF CITY REFRIGERATION INC,100000046349610,A,16363,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6964,PO BOX 11332,,,,MEMPHIS,38111,TN,US,
BAXTER HEALTHCARE,15287,100000046345738,100000046353715,BILL_TO,100000046340143,3431,BAXTER HEALTHCARE,100000046349058,A,16659,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5402,629 MT CARMEL RD,,,,BYHALIA,38611,MS,US,
SALINE MEMORIAL HOSPITAL,15288,100000046346603,100000046354697,BILL_TO,100000046340144,4279,SALINE MEMORIAL HOSPITAL,100000046349906,A,17524,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6384,1 MEDICAL DR,,,,BENTON,72015,AR,US,
BUILDING CONTROLS & SERVICES,15289,100000046345449,100000046353941,BILL_TO,100000046340145,3434,BUILDING CONTROLS & SERVICES,100000046349061,A,16370,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5628,1730 E DOUGLAS,,,,WICHITA,67214,KS,US,
BAPTIST MEMORIAL HEALTHCARE,15290,100000046346337,100000046354744,BILL_TO,100000046340146,3460,BAPTIST MEMORIAL HEALTHCARE,100000046349087,A,17258,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6431,350 N HUMPHREYS BLVD,,,,MEMPHIS,38120,TN,US,
MCCOMB SCHOOL DISTRICT,15291,100000046345743,100000046355282,BILL_TO,100000046340147,3437,MCCOMB SCHOOL DISTRICT,100000046349064,A,16664,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6969,695 MINNESOTA AVE,,,,MCCOMB,39648,MS,US,
GREER SERVICES,15292,100000046344628,100000046354288,BILL_TO,100000046340148,4287,GREER SERVICES,100000046349914,A,15549,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5975,1107 HARRIS DR,,,,SOUTH FULTON,38257,TN,US,
EVOLUTION MECHANICAL,15293,100000046345194,100000046354748,BILL_TO,100000046340149,4820,EVOLUTION MECHANICAL,100000046350447,A,16115,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6435,1791 CAPITAL ST,,,,CORONA,92880,CA,US,
USNR LLC,15294,100000046344629,100000046353477,BILL_TO,100000046340150,5183,USNR LLC,100000046350810,A,15550,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5164,PO BOX 310,,,,WOODLAND,98674,WA,US,
