Ship-To Code,Transaction Source,Transaction Class,Transaction Type,Complete,Status,Customer,Entered Amount,Currency,Transaction Date,Operating Company (OpCo),Accounting Date,Bill-to Customer Site,Disc Due Date,Primary Salesperson,Ship to,Bill-to Customer Account Number,Ship-to Site
56258,Conversion,Invoice,Invoice,Yes,Complete,ENFRA MCC LLC,285.35,USD,46171,Etairos,46173,27598,46201,Gregory Brown,ENFRA MCC LLC,16702,30723
56285,Conversion,Invoice,Invoice,Yes,Complete,DUNBAR MECHANICAL,83700,USD,46173,Etairos,46173,27840,46203,Gregory Brown,DUNBAR MECHANICAL,15423,31878
56318,Conversion,Invoice,Invoice,Yes,Complete,WALKER-J-WALKER INC,14440,USD,46173,Etairos,46173,27397,46203,Gregory Brown,WALKER-J-WALKER INC,16758,30670
55276,Conversion,Invoice,Invoice,Yes,Complete,SOURCE BLUE,25080,USD,46122,Etairos,46173,26244,46152,Gregory Brown,SOURCE BLUE,16489,31124
55418,Conversion,Invoice,Invoice,Yes,Complete,MARTIN & WHITE,2524.25,USD,46133,Etairos,46173,27102,46163,Gregory Brown,MARTIN & WHITE,16126,31774
55146,Conversion,Invoice,Invoice,Yes,Complete,MARTIN & WHITE,138206,USD,46112,Etairos,46173,27102,46142,Gregory Brown,MARTIN & WHITE,16126,31774
55166,Conversion,Invoice,Invoice,Yes,Complete,SOURCE BLUE,12000,USD,46112,Etairos,46173,26244,46142,Gregory Brown,SOURCE BLUE,16489,31124
42809,Conversion,Invoice,Invoice,Yes,Complete,BERNHARD MCC LLC,536.55,USD,45551,Etairos,46173,27827,45581,Gregory Brown,BERNHARD MCC LLC,15609,31962
55978,Conversion,Invoice,Invoice,Yes,Complete,ENFRA MCC LLC,12337.96,USD,46157,Etairos,46173,27598,46187,Gregory Brown,ENFRA MCC LLC,16702,30723
49094,Conversion,Invoice,Invoice,Yes,Complete,MARTIN & WHITE,741.25,USD,45838,Etairos,46173,27102,45868,Gregory Brown,MARTIN & WHITE,16126,31774
52458,Conversion,Invoice,Invoice,Yes,Complete,SOURCE BLUE,3650,USD,45982,Etairos,46173,26244,46012,Gregory Brown,SOURCE BLUE,16489,31124
52807,Conversion,Invoice,Invoice,Yes,Complete,MARTIN & WHITE,224.44,USD,46000,Etairos,46173,27102,46030,Gregory Brown,MARTIN & WHITE,16126,31774
55273,Conversion,Invoice,Invoice,Yes,Complete,SOURCE BLUE,418000,USD,46122,Etairos,46173,26244,46152,Gregory Brown,SOURCE BLUE,16489,31124
55274,Conversion,Invoice,Invoice,Yes,Complete,SOURCE BLUE,950,USD,46122,Etairos,46173,26244,46152,Gregory Brown,SOURCE BLUE,16489,31124
55278,Conversion,Invoice,Invoice,Yes,Complete,SOURCE BLUE,3640.8,USD,46122,Etairos,46173,26244,46152,Gregory Brown,SOURCE BLUE,16489,31124
