PARTY_NAME,PartyNumber,PARTY_SITE_ID,SITE_USE_ID,SITE_USE_CODE,PARTY_ID,ACCOUNT_NUMBER,ACCOUNT_NAME,CUST_ACCOUNT_ID,ACCOUNT_STATUS,PARTY_SITE_NUMBER,PARTY_SITE_STATUS,START_DATE,END_DATE,PRIMARY_FLAG,BILL_TO_FLAG,SHIP_TO_FLAG,LOCATION,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,CITY,POSTAL_CODE,STATE,COUNTRY
10 FITNESS INC SEARCY,12099,100000045971036,100000045971166,BILL_TO,100000045971005,1009,10 FITNESS INC SEARCY,100000045971102,A,11142,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,1019,2205 W BEEBE CAPPS EXPY,,,,SEARCY,72143,AR,US
111 CENTER STREET LTD STEPHENS INC,12101,100000045971041,100000045971158,SHIP_TO,100000045971007,1010,111 CENTER STREET LTD STEPHENS INC,100000045971103,A,11147,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,1011,111 CENTER ST,,,,LITTLE ROCK,72201,AR,US
111 CENTER STREET LTD STEPHENS INC,12101,100000045971041,100000045971162,BILL_TO,100000045971007,1010,111 CENTER STREET LTD STEPHENS INC,100000045971103,A,11147,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,1015,111 CENTER ST,,,,LITTLE ROCK,72201,AR,US
10 FITNESS INC LITTLE ROCK,12102,100000045971038,100000045971160,SHIP_TO,100000045971008,1011,10 FITNESS INC LITTLE ROCK,100000045971104,A,11144,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,1013,10 FITNESS OF UNIVERSITY,,,,LITTLE ROCK,72221,AR,US
10 FITNESS INC LITTLE ROCK,12102,100000045971038,100000045971161,BILL_TO,100000045971008,1011,10 FITNESS INC LITTLE ROCK,100000045971104,A,11144,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,1014,10 FITNESS OF UNIVERSITY,,,,LITTLE ROCK,72221,AR,US
10 FITNESS INC LITTLE ROCK,12102,100000045971040,100000045971164,BILL_TO,100000045971008,1011,10 FITNESS INC LITTLE ROCK,100000045971104,A,11146,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,N,Y,N,1017,PO BOX 22917,,,,LITTLE ROCK,72221,AR,US
10 FITNESS INC,12103,100000045971039,100000045971163,SHIP_TO,100000045971009,1014,10 FITNESS INC,100000045971107,A,11145,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,1016,211 HIDDEN VALLEY LOOP,,,,MAUMELLE,72113,AR,US
10 FITNESS INC,12103,100000045971039,100000045971167,BILL_TO,100000045971009,1014,10 FITNESS INC,100000045971107,A,11145,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,1020,211 HIDDEN VALLEY LOOP,,,,MAUMELLE,72113,AR,US
JAMES JACKSON,13005,100000046278980,100000046288902,BILL_TO,100000046272998,2272,JAMES JACKSON,100000046283548,A,14611,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,4226,804 NE J ST,,,,BENTONVILLE,72712,AR,US
KBM INDUSTRIAL SERVICES INC,13006,100000046277498,100000046287609,BILL_TO,100000046272999,2273,KBM INDUSTRIAL SERVICES INC,100000046283549,A,13132,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2933,3415 E 6TH ST,,,,RUSSELLVILLE,72802,AR,US
OSAGE NATION DBA OSAGE CASINOS,13007,100000046279556,100000046288257,BILL_TO,100000046273000,2005,OSAGE NATION DBA OSAGE CASINOS,100000046283281,A,15185,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,3581,1211 W 36TH ST N,,,,TULSA,74127,OK,US
OSAGE NATION DBA OSAGE CASINOS,13007,100000046279556,100000046288905,SHIP_TO,100000046273000,2005,OSAGE NATION DBA OSAGE CASINOS,100000046283281,A,15185,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,4229,1211 W 36TH ST N,,,,TULSA,74127,OK,US
