Memo,Job #,Branch,Line No,Ship to,Customer,Document,Due Date,Job Name,Orig Amt,Rev Acct,Oracle BU,Oracle IC,Slsp Code,Slsp Name,Entry Date,Oracle LOB,SO Doc Num,Current Amt,Oracle Dept,Ship-To Zip,Slsp 2 Code,Slsp 2 Name,Doc Cont Num,Job Slsp > 6,Rev Line Amt,Ship-To City,Ship-To Code,Ship-To Name,Customer Name,Disc Due Date,Oracle Branch,Oracle Future,Ship-To State,Slsp 2 Comm %,DR Description,Oracle Account,Oracle Addback,Source Account,Job Slsp 1 Code,Job Slsp 1 Name,Job Slsp 2 Code,Job Slsp 2 Name,Job Slsp 3 Code,Job Slsp 3 Name,Job Slsp 4 Code,Job Slsp 4 Name,Job Slsp 5 Code,Job Slsp 5 Name,Job Slsp 6 Code,Job Slsp 6 Name,Oracle Prodline,Ship-To Country,Current Discount,Transaction Type,Job Slsp 1 Comm %,Job Slsp 2 Comm %,Job Slsp 3 Comm %,Job Slsp 4 Comm %,Job Slsp 5 Comm %,Job Slsp 6 Comm %,Ship-To Address 1,Ship-To Address 2,Ship-To Address 3,Terms Description,Source Branch desc,Source Description,Source Product Line,Multi-Job Line Splits,Source Product Line Desc
1-133198697613,,Memphis,3,Etairos HVAC,103288,40686,2024-07-13 00:00:00,RTU 4,2879.76,4300-03-01 00:00:00,1270,0000,JAC,John Cornelius,2024-06-13 00:00:00,100,21254,2879.76,600,38134,,,0,N,83.88,Memphis,Etairos HVAC,Etairos HVAC,Johnson Controls Memphis,2024-06-13 00:00:00,1209,0000,TN,,Fees- Credit Card,738030,000,4300,,,,,,,,,,,,,1005,US,0,IN,,,,,,,1847 Vanderhorn Drive,,,Net 30,Memphis,Credit Card Fee Eq Mem,3,N,Equipment
614-P655522 (cid 99341),,Memphis,3,VA MEDICAL CENTER,103432,55752,2026-05-30 00:00:00,,1040.3,4300-03-01 00:00:00,1270,0000,ALA,Adrian Adams,2026-04-30 00:00:00,100,D28290,1040.3,600,38104,,,0,N,30.3,MEMPHIS,VA MEDICAL CENTER,VA MEDICAL CENTER,VA MEDICAL CENTER,2026-04-30 00:00:00,1209,0000,TN,,Fees- Credit Card,738030,000,4300,,,,,,,,,,,,,1005,US,0,IN,,,,,,,1030 JEFFERSON AVENUE,,,Net 30,Memphis,Credit Card Fee Eq Mem,3,N,Equipment
7188,SDW-10351,Memphis,1,"Morgan & Thornburg, Inc.",100013,53412,2026-02-13 00:00:00,MATT FORBIS SHOP,4675.35,4010-01-01 00:00:00,1270,0000,SDW,Steve Wilson,2026-01-14 00:00:00,100,D27368,4675.35,000,38118,,,0,N,4260,Memphis,"Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.",2026-01-14 00:00:00,1209,0000,TN,,Revenue,411000,000,4010,SDW,Steve Wilson,,,,,,,,,,,1005,US,0,IN,100,,,,,,4076 Hatcher Cr.,,,Net 30,Memphis,Sales - Equipment Memphis,1,N,Equipment
7169,SDW-10359,Memphis,1,"Morgan & Thornburg, Inc.",100013,54053,2026-03-13 00:00:00,NSA 787 BOILER REPL,8428.8,4010-01-01 00:00:00,1270,0000,SDW,Steve Wilson,2026-02-11 00:00:00,100,D27554,8428.8,000,38118,,,0,N,7680,Memphis,"Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.",2026-02-11 00:00:00,1209,0000,TN,,Revenue,411000,000,4010,SDW,Steve Wilson,,,,,,,,,,,1005,US,0,IN,100,,,,,,4076 Hatcher Cr.,,,Net 30,Memphis,Sales - Equipment Memphis,1,N,Equipment
7169,SDW-10359,Memphis,1,"Morgan & Thornburg, Inc.",100013,54119,2026-03-15 00:00:00,NSA 787 BOILER REPL,71357.76,4010-01-01 00:00:00,1270,0000,SDW,Steve Wilson,2026-02-13 00:00:00,100,D27611,71357.76,000,38118,,,0,N,66525,Memphis,"Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.",2026-02-13 00:00:00,1209,0000,TN,,Revenue,411000,000,4010,SDW,Steve Wilson,,,,,,,,,,,1005,US,0,IN,100,,,,,,4076 Hatcher Cr.,,,Net 30,Memphis,Sales - Equipment Memphis,1,N,Equipment
7261,SDW-10371,Memphis,1,"Morgan & Thornburg, Inc.",100013,55369,2026-05-15 00:00:00,ORTHOSOUTH - SOUTHAVEN,2890.82,4010-01-01 00:00:00,1270,0000,SDW,Steve Wilson,2026-04-15 00:00:00,100,D28143,2890.82,000,38118,,,0,N,2634,Memphis,"Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.",2026-04-15 00:00:00,1209,0000,TN,,Revenue,411000,000,4010,SDW,Steve Wilson,,,,,,,,,,,1005,US,0,IN,100,,,,,,4076 Hatcher Cr.,,,Net 30,Memphis,Sales - Equipment Memphis,1,N,Equipment
7141,SDW-10341,Memphis,1,"Morgan & Thornburg, Inc.",100013,55400,2026-05-20 00:00:00,JMCGH INFECTIOUS DISEASE WING,147692.77,4010-01-01 00:00:00,1270,0000,SDW,Steve Wilson,2026-04-20 00:00:00,100,D28165,147692.77,000,38301,,,0,N,137948.38,JACKSON,"Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.",2026-04-20 00:00:00,1209,0000,TN,,Revenue,411000,000,4010,SDW,Steve Wilson,WJT,Jennings Thigpen,,,,,,,,,1005,US,0,IN,55,45,,,,,"C/O Morgan & Thornburg, Inc.",620 SKYLINE DRIVE,,Net 30,Memphis,Sales - Equipment Memphis,1,N,Equipment
7085,SDW-10313,Memphis,1,"Morgan & Thornburg, Inc.",100013,55890,2026-06-12 00:00:00,BMHD REPLACE COOLING TOWER PROJECT C25011,17510,4010-01-01 00:00:00,1270,0000,SDW,Steve Wilson,2026-05-13 00:00:00,100,D28364,17510,000,38118,,,0,N,16200,Memphis,"Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.",2026-05-13 00:00:00,1209,0000,TN,,Revenue,411000,000,4010,SDW,Steve Wilson,,,,,,,,,,,1005,US,0,IN,100,,,,,,4076 Hatcher Cr.,,,Net 30,Memphis,Sales - Equipment Memphis,1,N,Equipment
1-031026,WJT-01099,Memphis,1,RGB Mechanical,100015,56139,2026-06-20 00:00:00,HYDROTEMP WSHP,2945,4010-01-01 00:00:00,1270,0000,WJT,Jennings Thigpen,2026-05-21 00:00:00,100,D28424,2945,000,72405,,,0,N,2945,Jonesboro,RGB Mechanical,RGB Mechanical,RGB Mechanical,2026-05-21 00:00:00,1209,0000,AR,,Revenue,411000,000,4010,WJT,Jennings Thigpen,,,,,,,,,,,1005,US,0,IN,100,,,,,,,4221 E. JOHNSON AVENUE,,Net 30,Memphis,Sales - Equipment Memphis,1,N,Equipment
4721,WJT-01104,Memphis,1,RGB Mechanical,100015,56292,2026-06-30 00:00:00,RGB CAMBRIDGE REPL,60210,4010-01-01 00:00:00,1270,0000,WJT,Jennings Thigpen,2026-05-31 00:00:00,100,D28503,60210,000,72405,,,0,N,60210,Jonesboro,RGB Mechanical,RGB Mechanical,RGB Mechanical,2026-05-31 00:00:00,1209,0000,AR,,Revenue,411000,000,4010,WJT,Jennings Thigpen,,,,,,,,,,,1005,US,0,IN,100,,,,,,,4221 E. JOHNSON AVENUE,,Net 30,Memphis,Sales - Equipment Memphis,1,N,Equipment
4615,WJT-01048,Memphis,1,RGB Mechanical,100015,56311,2026-06-30 00:00:00,ASU VET SCHOOL,787.5,4010-01-01 00:00:00,1270,0000,WJT,Jennings Thigpen,2026-05-31 00:00:00,100,D28521,787.5,000,72405,,,0,N,787.5,Jonesboro,RGB Mechanical,RGB Mechanical,RGB Mechanical,2026-05-31 00:00:00,1209,0000,AR,,Revenue,411000,000,4010,WJT,Jennings Thigpen,,,,,,,,,,,1005,US,0,IN,100,,,,,,,4221 E. JOHNSON AVENUE,,Net 30,Memphis,Sales - Equipment Memphis,1,N,Equipment
7053,KMG-01262,Memphis,1,PHI DELTA THETA,100025,54898,2026-04-18 00:00:00,PHI DELTA THETA,85900,4010-01-01 00:00:00,1270,0000,KMG,Kenny Gonzales,2026-03-19 00:00:00,100,D27931,85900,000,38677,,,0,N,85900,UNIVERSITY,PHI DELTA THETA,PHI DELTA THETA,"J.C. Hartsfield Co., Inc.",2026-03-19 00:00:00,1209,0000,MS,,Revenue,411000,000,4010,KMG,Kenny Gonzales,WJT,Jennings Thigpen,,,,,,,,,1005,US,0,IN,75,25,,,,,"C/O J.C. Hartsfield Co., Inc.",304 FRATERNITY ROW,,Net 30,Memphis,Sales - Equipment Memphis,1,N,Equipment
West Memphis Candlewood Caps,CCO-10528,Memphis,1,LAB Mechanical Solutions,104184,35707,2023-11-30 00:00:00,West Memphis Candlewood,2527.14,4010-01-01 00:00:00,1270,0000,CCO,Cary O'Connel,2023-10-31 00:00:00,100,D19260,2527.14,000,72396,,,0,N,2287,Wynne,LAB Mechanical Solutions,LAB Mechanical Solutions,LAB Mechanical Solutions,2023-10-31 00:00:00,1209,0000,AR,,Revenue,411000,000,4010,CCO,Cary O'Connel,,,,,,,,,,,1005,US,0,IN,100,,,,,,215 9th Street West,,,Net 30,Memphis,Sales - Equipment Memphis,1,N,Equipment
