Customer,Document,Doc Cont Num,Line No,Transaction Type,Current Amt,Current Discount,Orig Amt,Ship to,Entry Date,Due Date,Disc Due Date,Memo,Branch,SO Doc Num,Rev Acct,Rev Line Amt,Customer Name,Ship-To Name,Ship-To Code,Ship-To Address 1,Ship-To Address 2,Ship-To Address 3,Ship-To City,Ship-To State,Ship-To Zip,Ship-To Country,Terms Description,Job #,Job Name,Slsp Code,Slsp Name,Slsp 2 Code,Slsp 2 Name,Slsp 2 Comm %,Job Slsp 1 Code,Job Slsp 1 Name,Job Slsp 1 Comm %,Job Slsp 2 Code,Job Slsp 2 Name,Job Slsp 2 Comm %,Job Slsp 3 Code,Job Slsp 3 Name,Job Slsp 3 Comm %,Job Slsp 4 Code,Job Slsp 4 Name,Job Slsp 4 Comm %,Job Slsp 5 Code,Job Slsp 5 Name,Job Slsp 5 Comm %,Job Slsp 6 Code,Job Slsp 6 Name,Job Slsp 6 Comm %,Job Slsp > 6,Multi-Job Line Splits,Unnamed: 55,Unnamed: 56,Unnamed: 57,Source Account,Source Product Line,Source Description,DR Description,Source Product Line Desc,Source Branch desc,Unnamed: 64,Unnamed: 65,Oracle BU,Oracle Branch,Oracle LOB,Oracle Dept,Oracle Account,Oracle IC,Oracle Addback,Oracle Prodline,Oracle Future
103288,40686,0,3,IN,2879.76,0,2879.76,Etairos HVAC,2024-06-13 00:00:00,2024-07-13 00:00:00,2024-06-13 00:00:00,1-133198697613,Memphis,21254,4300-03-01 00:00:00,83.88,Johnson Controls Memphis,Etairos HVAC,Etairos HVAC,1847 Vanderhorn Drive,,,Memphis,TN,38134,US,Net 30,,RTU 4,JAC,John Cornelius,,,,,,,,,,,,,,,,,,,,,,N,N,,,,4300,3,Credit Card Fee Eq Mem,Fees- Credit Card,Equipment,Memphis,,,1270,1209,100,600,738030,0000,000,1005,0000
103432,55752,0,3,IN,1040.3,0,1040.3,VA MEDICAL CENTER,2026-04-30 00:00:00,2026-05-30 00:00:00,2026-04-30 00:00:00,614-P655522 (cid 99341),Memphis,D28290,4300-03-01 00:00:00,30.3,VA MEDICAL CENTER,VA MEDICAL CENTER,VA MEDICAL CENTER,1030 JEFFERSON AVENUE,,,MEMPHIS,TN,38104,US,Net 30,,,ALA,Adrian Adams,,,,,,,,,,,,,,,,,,,,,,N,N,,,,4300,3,Credit Card Fee Eq Mem,Fees- Credit Card,Equipment,Memphis,,,1270,1209,100,600,738030,0000,000,1005,0000
100013,53412,0,1,IN,4675.35,0,4675.35,"Morgan & Thornburg, Inc.",2026-01-14 00:00:00,2026-02-13 00:00:00,2026-01-14 00:00:00,7188,Memphis,D27368,4010-01-01 00:00:00,4260,"Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.",4076 Hatcher Cr.,,,Memphis,TN,38118,US,Net 30,SDW-10351,MATT FORBIS SHOP,SDW,Steve Wilson,,,,SDW,Steve Wilson,100,,,,,,,,,,,,,,,,N,N,,,,4010,1,Sales - Equipment Memphis,Revenue,Equipment,Memphis,,,1270,1209,100,000,411000,0000,000,1005,0000
100013,54053,0,1,IN,8428.8,0,8428.8,"Morgan & Thornburg, Inc.",2026-02-11 00:00:00,2026-03-13 00:00:00,2026-02-11 00:00:00,7169,Memphis,D27554,4010-01-01 00:00:00,7680,"Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.",4076 Hatcher Cr.,,,Memphis,TN,38118,US,Net 30,SDW-10359,NSA 787 BOILER REPL,SDW,Steve Wilson,,,,SDW,Steve Wilson,100,,,,,,,,,,,,,,,,N,N,,,,4010,1,Sales - Equipment Memphis,Revenue,Equipment,Memphis,,,1270,1209,100,000,411000,0000,000,1005,0000
100013,54119,0,1,IN,71357.76,0,71357.76,"Morgan & Thornburg, Inc.",2026-02-13 00:00:00,2026-03-15 00:00:00,2026-02-13 00:00:00,7169,Memphis,D27611,4010-01-01 00:00:00,66525,"Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.",4076 Hatcher Cr.,,,Memphis,TN,38118,US,Net 30,SDW-10359,NSA 787 BOILER REPL,SDW,Steve Wilson,,,,SDW,Steve Wilson,100,,,,,,,,,,,,,,,,N,N,,,,4010,1,Sales - Equipment Memphis,Revenue,Equipment,Memphis,,,1270,1209,100,000,411000,0000,000,1005,0000
100013,55369,0,1,IN,2890.82,0,2890.82,"Morgan & Thornburg, Inc.",2026-04-15 00:00:00,2026-05-15 00:00:00,2026-04-15 00:00:00,7261,Memphis,D28143,4010-01-01 00:00:00,2634,"Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.",4076 Hatcher Cr.,,,Memphis,TN,38118,US,Net 30,SDW-10371,ORTHOSOUTH - SOUTHAVEN,SDW,Steve Wilson,,,,SDW,Steve Wilson,100,,,,,,,,,,,,,,,,N,N,,,,4010,1,Sales - Equipment Memphis,Revenue,Equipment,Memphis,,,1270,1209,100,000,411000,0000,000,1005,0000
100013,55400,0,1,IN,147692.77,0,147692.77,"Morgan & Thornburg, Inc.",2026-04-20 00:00:00,2026-05-20 00:00:00,2026-04-20 00:00:00,7141,Memphis,D28165,4010-01-01 00:00:00,137948.38,"Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.","C/O Morgan & Thornburg, Inc.",620 SKYLINE DRIVE,,JACKSON,TN,38301,US,Net 30,SDW-10341,JMCGH INFECTIOUS DISEASE WING,SDW,Steve Wilson,,,,SDW,Steve Wilson,55,WJT,Jennings Thigpen,45,,,,,,,,,,,,,N,N,,,,4010,1,Sales - Equipment Memphis,Revenue,Equipment,Memphis,,,1270,1209,100,000,411000,0000,000,1005,0000
100013,55890,0,1,IN,17510,0,17510,"Morgan & Thornburg, Inc.",2026-05-13 00:00:00,2026-06-12 00:00:00,2026-05-13 00:00:00,7085,Memphis,D28364,4010-01-01 00:00:00,16200,"Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.","Morgan & Thornburg, Inc.",4076 Hatcher Cr.,,,Memphis,TN,38118,US,Net 30,SDW-10313,BMHD REPLACE COOLING TOWER PROJECT C25011,SDW,Steve Wilson,,,,SDW,Steve Wilson,100,,,,,,,,,,,,,,,,N,N,,,,4010,1,Sales - Equipment Memphis,Revenue,Equipment,Memphis,,,1270,1209,100,000,411000,0000,000,1005,0000
100015,56139,0,1,IN,2945,0,2945,RGB Mechanical,2026-05-21 00:00:00,2026-06-20 00:00:00,2026-05-21 00:00:00,1-031026,Memphis,D28424,4010-01-01 00:00:00,2945,RGB Mechanical,RGB Mechanical,RGB Mechanical,,4221 E. JOHNSON AVENUE,,Jonesboro,AR,72405,US,Net 30,WJT-01099,HYDROTEMP WSHP,WJT,Jennings Thigpen,,,,WJT,Jennings Thigpen,100,,,,,,,,,,,,,,,,N,N,,,,4010,1,Sales - Equipment Memphis,Revenue,Equipment,Memphis,,,1270,1209,100,000,411000,0000,000,1005,0000
100015,56292,0,1,IN,60210,0,60210,RGB Mechanical,2026-05-31 00:00:00,2026-06-30 00:00:00,2026-05-31 00:00:00,4721,Memphis,D28503,4010-01-01 00:00:00,60210,RGB Mechanical,RGB Mechanical,RGB Mechanical,,4221 E. JOHNSON AVENUE,,Jonesboro,AR,72405,US,Net 30,WJT-01104,RGB CAMBRIDGE REPL,WJT,Jennings Thigpen,,,,WJT,Jennings Thigpen,100,,,,,,,,,,,,,,,,N,N,,,,4010,1,Sales - Equipment Memphis,Revenue,Equipment,Memphis,,,1270,1209,100,000,411000,0000,000,1005,0000
