Project Name,Project Number,Project Status,Project Unit,Project Type,Project Manager,Customer,Start Date,Finish Date,Project Description,Operating Company (OpCo),Branch,Project Ledger Currency,Quote Number,Contract Type,Product Estimated,Distribution To,Cost Per Trip/Day
1701 Fall Hill SA 26-27,0126-6906,Active,CJBS PU,CJBS_Billable Project Type,"Halferty, April",THALHIMER,2026-03-01 00:00:00,2027-05-01 00:00:00,"1701 Fall Hill Ave Fredericksburg, VA 22401",CJBS,Richmond-C&J-Services,USD,0126-6906,Service Contract,Tridium,CONTRACTOR,87
ABB Regen Test Bay,0125-5992,Active,CJBS PU,CJBS_Billable Project Type,"Suttles, Jonathan",COMFORT SYSTEMS INC,2025-04-01 00:00:00,2027-05-31 00:00:00,"5900 Eastport Blvd Richmond, VA 23231",CJBS,Richmond-C&J-Building Automation,USD,0125-5992,New Construction,Custom Panel,CONTRACTOR,44.5
ACRJ Service Contract Renewal 25-26,0126-7065,Active,CJBS PU,CJBS_Billable Project Type,"Halferty, April",,2025-12-01 00:00:00,2026-12-01 00:00:00,"160 Peregory Lane  Charlottesville, VA 22902",CJBS,Richmond-C&J-Services,USD,0126-7065,Service Contract,,CONTRACTOR,87
Albemarle Co HS Center - Annexair Unit Controls,0125-6573,Active,CJBS PU,CJBS_Billable Project Type,"Suttles, Jonathan",HOBBS & ASSOCIATES,2025-04-01 00:00:00,2027-01-01 00:00:00,"2775 Hydraulic Road  Charlottesville, VA",CJBS,Richmond-C&J-Building Automation,USD,0125-6573,Renovation,Schneider AS-B,CONTRACTOR,151.3
Atlantic Park_Dome Program Mods May26,0126-7378,Active,CJBS PU,CJBS_Billable Project Type,"Martinez, Joseph",BURGESS & NIPLE INC,2026-05-01 00:00:00,2027-01-01 00:00:00,"400 20th St. Virginia Beach, VA 23451",CJBS,Richmond-C&J-Services,USD,0126-7378,Service Quoted,Schneider,CONTRACTOR,139.2
Avon Operations Center,0124-5586,Active,CJBS PU,CJBS_Billable Project Type,"Tees, Jason",HOWELL'S HEATING & AIR,2024-10-01 00:00:00,2027-01-01 00:00:00,"1741 Avon Street Extended  Charlottesville, VA 22902",CJBS,Richmond-C&J-Building Automation,USD,0124-5586,New Construction,Schneider,CONTRACTOR,94.8295
BSMH - ORC HVAC Upgrades,0125-6136,Active,CJBS PU,CJBS_Billable Project Type,"Flagg, Daniel",ATLANTIC CONSTRUCTORS INC,2025-02-01 00:00:00,2026-08-01 00:00:00,,CJBS,Richmond-C&J-Building Automation,USD,0125-6136,Renovation,JCI FX or Schneider Tridium,CONTRACTOR,22.04785929
BSMH RGH Lab Equip PH2,0125-6737,Active,CJBS PU,CJBS_Billable Project Type,"Flagg, Daniel",WARWICK MECHANICAL GROUP,2025-07-01 00:00:00,2026-11-01 00:00:00,,CJBS,Richmond-C&J-Building Automation,USD,0125-6737,Renovation,Tridium / Schneider,CONTRACTOR,178
BSMH RGH Patient Wing Renovation,0124-5395,Active,CJBS PU,CJBS_Billable Project Type,"Flagg, Daniel",,2024-11-01 00:00:00,2027-07-01 00:00:00,"101 Harris Road  Kilmarnock, VA 22482",CJBS,Richmond-C&J-Building Automation,USD,0124-5395,Renovation,Tridium Schneider,CONTRACTOR,121.6990758
BSMH Short Pump ASC,0125-6027,Active,CJBS PU,CJBS_Billable Project Type,"Flagg, Daniel",M&E CONTRACTORS,2025-08-01 00:00:00,2027-02-01 00:00:00,"12320 West Broad St.  Henrico, VA 23233",CJBS,Richmond-C&J-Building Automation,USD,0125-6027,New Construction,Schneider Tridium,CONTRACTOR,44.5
,0126-6593,Active,CJBS PU,CJBS_Billable Project Type,"Flagg, Daniel",M&E CONTRACTORS,2026-02-01 00:00:00,2027-04-01 00:00:00,"13701 Bon Secours Drive  Midlothian, VA 23114",CJBS,Richmond-C&J-Building Automation,USD,0126-6593,New Construction,Schneider Tridium,CONTRACTOR,44.5
BSMH St Francis MOB 2nd 3rd Fitout,0125-6879,Active,CJBS PU,CJBS_Billable Project Type,"Flagg, Daniel",HOWELL'S HEATING & AIR,2025-12-01 00:00:00,2026-12-01 00:00:00,"13701 Bon Secours Drive  Midlothian, VA 23114",CJBS,Richmond-C&J-Building Automation,USD,0125-6879,New Construction,SE - Tridium,CONTRACTOR,44.5
BSMH St. Francis MOB Core Shell,0125-6047,Active,CJBS PU,CJBS_Billable Project Type,"Flagg, Daniel",M&E CONTRACTORS,2025-08-01 00:00:00,2026-11-01 00:00:00,"13701 Bon Secours Drive  Richmond, VA 23114",CJBS,Richmond-C&J-Building Automation,USD,0125-6047,New Construction,Schneider Tridium,CONTRACTOR,56.22625286
BSMH St. Marys MOB N OPIC,0126-7134,Active,CJBS PU,CJBS_Billable Project Type,"Seay, Kyle",MILLER MECHANICAL,2026-03-01 00:00:00,2027-01-01 00:00:00,"5855 Bremo Road, Suite 605  Richmond, VA 23226",CJBS,Richmond-C&J-Services,USD,0126-7134,Service Quoted,SE Tridium,CONTRACTOR,62.3
Brooks YMCA,0125-6775,Active,CJBS PU,CJBS_Billable Project Type,"Halferty, April",BROOKS FAMILY YMCA,2025-11-01 00:00:00,2027-01-01 00:00:00,"151 McIntire Park Drive Charlottesville, VA 22902",CJBS,Richmond-C&J-Services,USD,0125-6775,Service Contract,,CONTRACTOR,87
Buckingham WWTP,0124-5263,Active,CJBS PU,CJBS_Billable Project Type,"Dodd, Sean",GREEN AIR,2024-03-01 00:00:00,2027-02-01 00:00:00,"VA-20 Dillwyn, VA 23936",CJBS,Richmond-C&J-Building Automation,USD,0124-5263,New Construction,Wiring Only,CONTRACTOR,139.2
,0124-5803,Active,CJBS PU,CJBS_Billable Project Type,"Flagg, Daniel",ATLANTIC CONSTRUCTORS INC,2024-07-01 00:00:00,2027-11-01 00:00:00,"Chesapeake Bay Bridge and Tunnel District Cape Charles, VA 23310",CJBS,Richmond-C&J-Building Automation,USD,0124-5803,New Construction,Schneider Electric,CONTRACTOR,151.3165577
,0125-6794,Active,CJBS PU,CJBS_Billable Project Type,"Tees, Jason",GREEN AIR,2025-12-01 00:00:00,2027-10-01 00:00:00,"7318 Midlothian Turnpike  North Chesterfield, VA 23225",CJBS,Richmond-C&J-Building Automation,USD,0125-6794,New Construction,SE Tridium,CONTRACTOR,62.3
CCPS - New West Area Elem - Service Contract,0124-6131,Active,CJBS PU,CJBS_Billable Project Type,,HARRIS HEATING & PLUMBING CO,2026-09-01 00:00:00,2029-11-01 00:00:00,"17160 Westerleigh Parkway Moseley, VA 23120",CJBS,Richmond-C&J-Services,USD,0124-6131,Service Contract,,CONTRACTOR,87
