Invoice Number,INVOICE_ID,Invoice Amount,Invoice date,INVOICE_CURRENCY_CODE,SOURCE,Invoice Type,INVOICE_DESCRIPTION,SUPPLIER_NUMBER,SUPPLIER_NAME,LINE_NUMBER,LINE_TYPE,LINE_AMOUNT,LINE_DESCRIPTION,CHARGE_ACCOUNT
00015279; 00015294,103704,14500,2026-02-03,USD,Conversion,STANDARD,"FB: PO# - 25-16999  Per Quote # dor082925  Please mark shipment: ""Mike's PO# 182236274-005""",101056,CAR-MON PRODUCTS INC,1,ITEM,14500,Dorse_Line_1,1510.1602.100.000.511000.0000.000
000801837 X,103975,3252.6,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10330  Created for SO #240349  Aliecia Carmichael  Purchasing Agent  Code Mechanica...,101196,FANTECH INC / SYSTEMAIR INC,1,ITEM,3252.6,Dorse_Line_1,1510.1601.100.000.511000.0000.000
0168499-IN X,103697,243.09,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10402  Created for SO #244327  SO Note: Alyssa Hand - 253.888.0187  Chris Thomas - ...,100786,YOUNG REGULATOR COMPANY,1,ITEM,243.09,Dorse_Line_1,1510.1601.100.000.511000.0000.000
0168522-IN,104116,3057.07,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10301  Created for SO #244154  Site Contact: Dave 509-359-0422,100786,YOUNG REGULATOR COMPANY,1,ITEM,3057.07,Dorse_Line_1,1510.1602.100.000.511000.0000.000
0168523-IN X,104129,368.25,2026-01-31,USD,Conversion,STANDARD,Original Inv paid under Order# 162805,100786,YOUNG REGULATOR COMPANY,1,ITEM,368.25,Dorse_Line_1,1510.1602.100.000.514000.0000.000
0168736-IN,104130,236,2026-02-13,USD,Conversion,STANDARD,Original Inv paid under Order# 162805,100786,YOUNG REGULATOR COMPANY,1,ITEM,236,Dorse_Line_1,1510.1602.100.000.514000.0000.000
0168780-IN,104126,73.65,2026-02-17,USD,Conversion,STANDARD,Original Inv paid under Order# 0163557,100786,YOUNG REGULATOR COMPANY,1,ITEM,73.65,Dorse_Line_1,1510.1601.100.000.514000.0000.000
0168822-IN,103699,75,2026-02-19,USD,Conversion,STANDARD,FB: PO# - 26-10301A  Created for SO #245811,100786,YOUNG REGULATOR COMPANY,1,ITEM,75,Dorse_Line_1,1510.1601.100.000.511000.0000.000
0168950-IN,103700,1390.47,2026-02-26,USD,Conversion,STANDARD,FB: PO# - 26-10957  Created for SO #245317  SO Note: Alyssa Hand - 253.888.0187  Chris Thomas - ...,100786,YOUNG REGULATOR COMPANY,1,ITEM,1390.47,Dorse_Line_1,1510.1601.100.000.511000.0000.000
03016465CR,106034,-712.86,2025-10-16,USD,Conversion,CREDIT,FB: PO# - 24-17535CR,100751,MI CONTROLS INC,1,ITEM,-712.86,Dorse_Line_1,1510.1601.000.000.115101.0000.000
0465484-IN X,103971,137.57,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10649  Created for SO #244732  SO Note: Rod 425-9676571  PO 2435-148833,100884,DETROIT RADIANT PRODUCTS COMPANY,1,ITEM,137.57,Dorse_Line_1,1510.1601.100.000.511000.0000.000
0465742-IN,103972,172.04,2026-02-05,USD,Conversion,STANDARD,FB: PO# - 26-10788  Created for SO #244989  SO Note: Nikki Knapp 253.872.5665   Service Steel  P...,100884,DETROIT RADIANT PRODUCTS COMPANY,1,ITEM,172.04,Dorse_Line_1,1510.1601.100.000.511000.0000.000
0465743-IN,103707,1452.13,2026-02-05,USD,Conversion,STANDARD,FB: PO# - 26-10172  Created for SO #243930  Site Contact: Rick S. 208-916-7112,100884,DETROIT RADIANT PRODUCTS COMPANY,1,ITEM,1452.13,Dorse_Line_1,1510.1602.100.000.511000.0000.000
0465957-IN,103973,1160.78,2026-02-10,USD,Conversion,STANDARD,FB: PO# - 26-10218  Created for SO #244019,100884,DETROIT RADIANT PRODUCTS COMPANY,1,ITEM,1160.78,Dorse_Line_1,1510.1601.100.000.511000.0000.000
0466401-IN,103708,677.87,2026-02-18,USD,Conversion,STANDARD,FB: PO# - 26-10435  Created for SO #244350,100884,DETROIT RADIANT PRODUCTS COMPANY,1,ITEM,677.87,Dorse_Line_1,1510.1602.100.000.511000.0000.000
0466466-IN,103709,218.15,2026-02-19,USD,Conversion,STANDARD,FB: PO# - 26-11151  Created for SO #245634  SO Note: Steve Johnson   718-1482279A,100884,DETROIT RADIANT PRODUCTS COMPANY,1,ITEM,218.15,Dorse_Line_1,1510.1602.100.000.511000.0000.000
0466707-IN,103710,243.85,2026-02-25,USD,Conversion,STANDARD,FB: PO# - 26-11308  Created for SO #245911  SO Note: UPS - # 1z4566610370856709 ETA at PSF shop ...,100884,DETROIT RADIANT PRODUCTS COMPANY,1,ITEM,243.85,Dorse_Line_1,1510.1602.100.000.511000.0000.000
052357X,103613,369,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10266  Created for SO #244121,100960,METAL FORM MFG CO,1,ITEM,369,Dorse_Line_1,1510.1601.100.000.511000.0000.000
0731026-IN,106011,3425.93,2026-02-20,USD,Conversion,STANDARD,FB: PO# - 26-11081,101130,FRESH AIR MANUFACTURING CO INC,1,ITEM,3425.93,Dorse_Line_1,1510.1601.000.000.115101.0000.000
106247,106021,3987,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10673,100362,SOUTHWARK METAL MANUFACTURING CO INC,1,ITEM,3987,Dorse_Line_1,1510.1601.000.000.115101.0000.000
106510,106022,3027.73,2026-02-10,USD,Conversion,STANDARD,FB: PO# - 26-10849,100362,SOUTHWARK METAL MANUFACTURING CO INC,1,ITEM,3027.73,Dorse_Line_1,1510.1601.000.000.115101.0000.000
11294X,103005,134.04,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10581  Created for SO #244589  SO Note: Kyle Folk   po#32354,101129,GREATER NORTHWEST REPS,1,ITEM,134.04,Dorse_Line_1,1510.1601.100.000.511000.0000.000
11298X,103006,248.31,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10623  Created for SO #244675  SO Note: Jamison Ausburn 425-977-3398  PO 2412-148784,101129,GREATER NORTHWEST REPS,1,ITEM,248.31,Dorse_Line_1,1510.1601.100.000.511000.0000.000
11324,103007,174.83,2026-02-13,USD,Conversion,STANDARD,FB: PO# - 26-11022  Created for SO #245406  SO Note: RONEL MARQUEZ (206) 656-8555   Goodyear #88...,101129,GREATER NORTHWEST REPS,1,ITEM,174.83,Dorse_Line_1,1510.1601.100.000.511000.0000.000
119633M,103950,2951.2,2026-02-20,USD,Conversion,STANDARD,FB: PO# - 26-11042  Created for SO #245272  SO Note: Keith 206-683-1414  Great Sun,101151,METU STREIMER,1,ITEM,2951.2,Dorse_Line_1,1510.1601.150.000.511000.0000.000
158485,104127,51.01,2026-02-25,USD,Conversion,STANDARD,,100504,H & H EXPRESS INC,1,ITEM,51.01,Dorse_Line_1,1510.1602.100.000.514000.0000.000
