Source Entity,Source Account #,Source Product Line,Product Line Description,Source Branch,Branch Description,Source Description,Account Number,Account Desc
Etairos,1010,0,Equipment,0,Headquarters,State Bank Miss,10043,STATE BANK MISS
Etairos,1014,0,Equipment,0,Headquarters,Ap Debits Reclass To Asset,11010,Trade accounts receivable
Etairos,1020,0,Equipment,0,Headquarters,Guaranty Bank Operating,10044,GUARANTY BANK OPERATING
Etairos,1021,0,Equipment,0,Headquarters,Guaranty Bank Payroll,10045,GUARANTY BANK PAYROLL
Etairos,1022,0,Equipment,0,Headquarters,Guaranty Bank Credit Card,10046,GUARANTY BANK CREDIT CARD
Etairos,1023,0,Equipment,0,Headquarters,Guaranty Bank Money Market,10047,GUARANTY BANK MONEY MARKET
Etairos,1024,0,Equipment,0,Headquarters,Cib Rec-Gs,10048,CIB REC-GS
Etairos,1025,0,Equipment,0,Headquarters,Cib Rece-Mwg,10049,CIB RECE-MWG
Etairos,1026,0,Equipment,0,Headquarters,Guaranty Sweep Account,10081,GUARANTY SWEEP ACCOUNT
Etairos,1028,0,Equipment,0,Headquarters,Cash: Outstanding Checks,10232,Cash: Outstanding Checks
Etairos,1030,0,Equipment,0,Headquarters,Iberiabank Operating,10082,IBERIABANK OPERATING
Etairos,1036,0,Equipment,0,Headquarters,Iberiabank Payroll,10083,IBERIABANK PAYROLL
Etairos,1037,0,Equipment,0,Headquarters,Iberiabank Credit Card,10050,IBERIABANK CREDIT CARD
Etairos,1038,0,Equipment,0,Headquarters,Iberiabank Money Market,10084,IBERIABANK MONEY MARKET
Etairos,1040,0,Equipment,0,Headquarters,Bank Clearing,10510,Bank Clearing
Etairos,1045,0,Equipment,0,Headquarters,Petty Cash,10500,Petty Cash
Etairos,1050,0,Equipment,0,Headquarters,Prepaid Income Tax,13010,Prepaid expenses
Etairos,1050,0,Equipment,0,Headquarters,Prepaid Tax,13010,Prepaid expenses
Etairos,1055,0,Equipment,0,Headquarters,Allowance For Doubtful Accts,11499,Allowance for doubt accounts
Etairos,1080,0,General/HQ,0,Headquarters,Receivable From Gs Real Estate 09/2023,11250,Other receivables
Etairos,1081,0,Equipment,0,Headquarters,Receivable From Gs Automation,11250,Other receivables
Etairos,1082,0,Equipment,0,Headquarters,Interco Gsi,19000,Intercompany
Etairos,1083,0,Equipment,0,Headquarters,Interco Mwg,19000,Intercompany
Etairos,1084,0,Equipment,0,Headquarters,Interco Dts,19000,Intercompany
