Account Number,INVOICE_ID,INVOICE_AMOUNT,INVOICE_DATE,INVOICE_CURRENCY_CODE,Source Entity,INVOICE_TYPE,Source Description,SUPPLIER_NUMBER,SUPPLIER_NAME,LINE_NUMBER,LINE_TYPE,LINE_AMOUNT,Product Line Description,CHARGE_ACCOUNT
100157521,105003,429.78,2026-04-23,USD,Conversion,STANDARD,,102784,RAYPAK,1,ITEM,429.78,Etairos_Line_1,1270.1207.000.000.115101.0000.000
100158664,105004,483.6,2026-05-01,USD,Conversion,STANDARD,,102784,RAYPAK,1,ITEM,483.6,Etairos_Line_1,1270.1207.000.000.115101.0000.000
100158668,105005,362.7,2026-05-01,USD,Conversion,STANDARD,,102784,RAYPAK,1,ITEM,362.7,Etairos_Line_1,1270.1209.000.000.115101.0000.000
100159457,105006,244.14,2026-05-07,USD,Conversion,STANDARD,,102784,RAYPAK,1,ITEM,244.14,Etairos_Line_1,1270.1209.000.000.115101.0000.000
100159825,105007,1061.58,2026-05-11,USD,Conversion,STANDARD,,102784,RAYPAK,1,ITEM,1061.58,Etairos_Line_1,1270.1209.000.000.115101.0000.000
100159826,105008,453.18,2026-05-11,USD,Conversion,STANDARD,,102784,RAYPAK,1,ITEM,453.18,Etairos_Line_1,1270.1209.000.000.115101.0000.000
100159857,105009,70.2,2026-05-11,USD,Conversion,STANDARD,,102784,RAYPAK,1,ITEM,70.2,Etairos_Line_1,1270.1209.000.000.115101.0000.000
100161567,105010,269.1,2026-05-19,USD,Conversion,STANDARD,,102784,RAYPAK,1,ITEM,269.1,Etairos_Line_1,1270.1209.000.000.115101.0000.000
100161751,105011,89.7,2026-05-19,USD,Conversion,STANDARD,,102784,RAYPAK,1,ITEM,89.7,Etairos_Line_1,1270.1209.000.000.115101.0000.000
100162087,105012,143.24,2026-05-21,USD,Conversion,STANDARD,,102784,RAYPAK,1,ITEM,143.24,Etairos_Line_1,1270.1209.000.000.115101.0000.000
100834021,104131,1884.31,2026-05-26,USD,Conversion,STANDARD,ZAG-01106,100617,JOHNSTONE SUPPLY,1,ITEM,1884.31,Etairos_Line_1,1270.1209.100.000.511000.0000.000
114233,104132,149.67,2026-04-30,USD,Conversion,STANDARD,,102863,HEDERMAN BROTHERS,1,ITEM,149.67,Etairos_Line_1,1270.1209.100.600.720010.0000.000
115030,104133,161.74,2026-05-27,USD,Conversion,STANDARD,,102863,HEDERMAN BROTHERS,1,ITEM,161.74,Etairos_Line_1,1270.1209.100.600.720010.0000.000
115443,104134,3255.1,2026-05-08,USD,Conversion,STANDARD,,102863,HEDERMAN BROTHERS,1,ITEM,651.02,Etairos_Line_1,1270.1209.100.600.726010.0000.000
115443,104134,3255.1,2026-05-08,USD,Conversion,STANDARD,,102863,HEDERMAN BROTHERS,2,ITEM,651.02,Etairos_Line_2,1270.1209.100.600.726010.0000.000
115443,104134,3255.1,2026-05-08,USD,Conversion,STANDARD,,102863,HEDERMAN BROTHERS,3,ITEM,651.02,Etairos_Line_3,1270.1209.100.600.726010.0000.000
115443,104134,3255.1,2026-05-08,USD,Conversion,STANDARD,,102863,HEDERMAN BROTHERS,4,ITEM,651.02,Etairos_Line_4,1270.1209.100.600.726010.0000.000
115443,104134,3255.1,2026-05-08,USD,Conversion,STANDARD,,102863,HEDERMAN BROTHERS,5,ITEM,651.02,Etairos_Line_5,1270.1209.100.600.726010.0000.000
120013M,105013,16782.4,2026-04-27,USD,Conversion,STANDARD,,102858,METU-STREIMER,1,ITEM,16782.4,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1332245,105014,162.87,2026-04-30,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,162.87,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1332259,105015,326.49,2026-04-30,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,326.49,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1332334,105016,3736.72,2026-04-30,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,3736.72,Etairos_Line_1,1270.1207.000.000.115101.0000.000
1332395,104135,49244.22,2026-04-30,USD,Conversion,STANDARD,SDW-10343,102405,AAON INC,1,ITEM,49244.22,Etairos_Line_1,1270.1209.100.000.511000.0000.000
1332452,105017,665.27,2026-04-30,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,665.27,Etairos_Line_1,1270.1207.000.000.115101.0000.000
1332523,104136,53516.66,2026-04-30,USD,Conversion,STANDARD,GPB-10350,102405,AAON INC,1,ITEM,53516.66,Etairos_Line_1,1270.1209.100.000.511000.0000.000
1332630,105018,7860.47,2026-04-30,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,7860.47,Etairos_Line_1,1270.1207.000.000.115101.0000.000
1332673,105019,794.34,2026-04-30,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,794.34,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1332709,105020,6127.15,2026-05-04,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,6127.15,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1332822,105021,1522.17,2026-05-04,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,1522.17,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1332837,104137,17.19,2026-05-04,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,17.19,Etairos_Line_1,1270.1209.200.000.511000.0000.000
1332843,104138,19.21,2026-05-04,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,19.21,Etairos_Line_1,1270.1209.200.000.511000.0000.000
1333100,104139,17.19,2026-05-05,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,17.19,Etairos_Line_1,1270.1209.200.000.511000.0000.000
1333657,105022,1551.92,2026-05-07,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,1551.92,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1333675,105023,1695.17,2026-05-07,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,1695.17,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1333679,105024,1628.5,2026-05-07,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,1628.5,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1333683,105025,1979.68,2026-05-07,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,1979.68,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1333684,105026,1633.13,2026-05-07,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,1633.13,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1333688,105027,109804.42,2026-05-07,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,109804.42,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1333688A,105028,15.93,2026-05-07,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,15.93,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1333711,105029,3655.82,2026-05-07,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,3655.82,Etairos_Line_1,1270.1207.000.000.115101.0000.000
1333724,105030,2328.39,2026-05-07,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,2328.39,Etairos_Line_1,1270.1207.000.000.115101.0000.000
1333726,105031,404.44,2026-05-07,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,404.44,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1333896,105032,546.2,2026-05-08,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,546.2,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1334061,105033,3161.67,2026-05-08,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,3161.67,Etairos_Line_1,1270.1207.000.000.115101.0000.000
1334301,105034,235.19,2026-05-11,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,235.19,Etairos_Line_1,1270.1207.000.000.115101.0000.000
1334348,105035,3335.79,2026-05-11,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,3335.79,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1334355,105036,1822.89,2026-05-11,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,1822.89,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1334419,105037,2219.26,2026-05-11,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,2219.26,Etairos_Line_1,1270.1207.000.000.115101.0000.000
1334524,105038,1857.35,2026-05-12,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,1857.35,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1334554,105039,80.69,2026-05-12,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,80.69,Etairos_Line_1,1270.1209.000.000.115101.0000.000
