Opco,Bill-to,zip_ora,city_ora,Ship to's,state_ora,row_number,PartyNumber,country_ora,address2_ora,address3_ora,validated_at,zip_original,FaxNumber_ora,city_original,record_status,AddressBill-to,AddressShip-to,state_original,PaymentTerm_ora,entity_name_ora,PhoneNumber1_ora,PhoneNumber2_ora,confidence_level,confidence_score,EmailAddress1_ora,EmailAddress2_ora,TaxIdentifier_ora,address1_original,address2_original,ContactPerson1_ora,ContactPerson2_ora,FaxNumber_original,SITE1_address1_ora,SITE2_address1_ora,entity_name_original,PhoneNumber1_original,PhoneNumber2_original,EmailAddress1_original,EmailAddress2_original,TaxIdentifier_original,ContactPerson1_original,ContactPerson2_original
Airetech,Y,72113,MAUMELLE,Y,AR,2,1001,US,,,2026-01-09 04:27:26,AR,,,READY,,,MAUMELLE,NET 30,10 FITNESS INC,+15013522314,,HIGH,80,minnie.mouse@gmail.com,,,211 HIDDEN VALLEY LOOP,,Eric Buckner,Dora The Explorer,,211 HIDDEN VALLEY LOOP,,10 FITNESS INC,72113,,MINNIE.MOUSE@GMAIL.COM,,,ERIC BUCKNER,DORA THE EXPLORER
Airetech,Y,72221,LITTLE ROCK,Y,AR,3,1002,US,,,NaT,AR,,,READY,,,LITTLE ROCK,NET 30,10 FITNESS INC,,,MEDIUM,70,,,,10 FITNESS OF UNIVERSITY,PO BOX 22917,Eric Buckner,,,PO BOX 22917,10 FITNESS OF UNIVERSITY,10 FITNESS INC LITTLE ROCK,72221,,,,,ERIC BUCKNER,
Airetech,Y,72143,SEARCY,,AR,4,1003,US,,,2026-01-09 04:27:27,AR,,,READY,,,SEARCY,NET 30,10 FITNESS INC,+15012314391,,HIGH,80,,,,2205 W BEEBE CAPPS EXPY,,Matthew Bittle,,,2205 W BEEBE CAPPS EXPY,,10 FITNESS SEARCY,72143,,,,,MATTHEW BITTLE,
Airetech,Y,72201,LITTLE ROCK,Y,AR,5,1004,US,,,2026-01-09 04:27:29,AR,+15016888450,,READY,,,LITTLE ROCK,NET 30,STEPHENS INC,+15016888400,,HIGH,80,,,,111 CENTER STREET,SUITE 1220,Barbara Dorsey,,501-688-8450,111 CENTER ST,,111 CENTER STREET LTD  STEPHENS INC,72201,,,,,BARBARA DORSEY,
Airetech,Y,72501,BATESVILLE,,AR,6,1005,US,STE 201,,2026-01-09 04:27:31,AR,+18705698142,,READY,,,BATESVILLE,NET 30,PLAZA LLC,+18705698141,,HIGH,80,,,,1141 EAST MAIN,SUITE 201,Sarah Mitchum Morgan,,870-569-8142,1141 E MAIN PLAZA BLDG,,1141 PLAZA LLC DBA 1141 PLAZA BLDG,72501,,,,,SARAH MITCHUM MORGAN,
Airetech,Y,74013,BROKEN ARROW,Y,OK,7,1006,US,,,NaT,OK,,,READY,,,BROKEN ARROW,NET 30,1ST ARTIC AIR,+19185573727,,MEDIUM,70,,,,PO BOX 93,,Autumn Hoffer,,,PO BOX 93,,1ST ARTIC AIR,74013,,,,,AUTUMN HOFFER,
Airetech,Y,71861,TAYLOR,Y,AR,8,1007,US,,,NaT,AR,,,READY,,,TAYLOR,NET 30,3D CONTRACTING CORP,+18592071,,MEDIUM,70,,,,PO BOX 360,,,,,PO BOX 360,,3D CONTRACTING CORP,71861,,,,,,
Airetech,Y,72762,SPRINGDALE,,AR,9,1008,US,,,2026-01-09 04:27:32,AR,,,READY,,,SPRINGDALE,NET 30,3M ELECTRIC LLC,+14798770166,,HIGH,80,,,,8953 GREENBRIAR ESTATES ROAD,,Renetta Hampton,,,8953 GREENBRIAR ESTATES RD,,3M ELECTRIC LLC,72762,,,,,RENETTA HAMPTON,
Airetech,Y,74021,COLLINSVILLE,Y,OK,10,1009,US,,,2026-01-09 04:27:34,OK,,,READY,,,COLLINSVILLE,NET 30,3RD GENERATION HEAT & AIR,+19182611903,,HIGH,80,,,EXM-10088483-,17070 N 113TH E AVE,,Rebecca Wells,,,17070 N 113TH E AVE,,3RD GENERATION HEAT AND AIR,74021,,,,EXM-10088483-,REBECCA WELLS,
Airetech,Y,71762,SMACKOVER,Y,AR,11,1010,US,,,NaT,AR,,,READY,,,SMACKOVER,NET 30,4 R MARKETING,+18707253333,,HIGH,100,,,,711 OUCHITA ROAD 72,,John Seymour,,,711 OUCHITA RD 72,,4 R MARKETING,71762,,,,,JOHN SEYMOUR,
Airetech,Y,72150,SHERIDAN,,AR,12,1011,US,,,NaT,AR,+18709428373,,READY,,,SHERIDAN,NET 30,A PLUS BUILDERS INC,+18705560408,,MEDIUM,70,,,,PO BOX 55,,Mike Henry,,870-942-8373,PO BOX 55,,A PLUS BUILDERS INC,72150,,,,,MIKE HENRY,
Airetech,Y,72543,HEBER SPRINGS,,AR,13,1012,US,,,NaT,AR,+15013622820,,READY,,,HEBER SPRINGS,NET 30,A1 HEATING & AIR,+15013622888,,HIGH,100,,,,906 HIGHWAY 25 B NORTH,,Larry Edge,,501-362-2820,906 HWY 25 B N,,A1 HEATING AND AIR HEBER SPRINGS,72543,,,,,LARRY EDGE,
Airetech,Y,73702,ENID,,OK,14,1013,US,,,NaT,OK,,,READY,,,ENID,NET 30,A1 PLUMBING & HEATING,+15802348348,,MEDIUM,70,,,,PO BOX 269,,Rocky Mcfarland,,,PO BOX 269,,A1 PLUMBING AND HEATING,73702,,,,,ROCKY MCFARLAND,
Airetech,Y,74112,TULSA,Y,OK,15,1014,US,,,2026-01-09 04:27:39,OK,+19188357595,,READY,,,TULSA,NET 30,A1 SHEET METAL INC,+19188356200,,HIGH,80,,,122734,5909 EAST 15TH STREET,,,,918-835-7595,5909 E 15TH ST,,A1 SHEET METAL INC,74112,,,,122734,,
Airetech,Y,72701,FAYETTEVILLE,,AR,16,1015,US,,,2026-01-09 04:27:42,AR,,,READY,,,FAYETTEVILLE,NET 30,AAF FLANDERS,,,HIGH,80,,,,2355 S ARMSTRONG AVE,,Irene Fernandez,,,2355 S ARMSTRONG AVE,,AAF FLANDERS,72701,,,,,IRENE FERNANDEZ,
Airetech,Y,75602,LONGVIEW,,TX,17,1016,US,,,2026-01-09 04:27:43,TX,+19032364463,,READY,,,LONGVIEW,NET 30,AAON COIL PRODUCTS INC,+19032364403,,HIGH,80,,,,203 GUM SPRINGS ROAD,,Accounts Payable,,903-236-4463,203 GUM SPRINGS RD,,AAON COIL PRODUCTS INC,75602,,,,,ACCOUNTS PAYABLE,
Airetech,Y,74101-3067,TULSA,N,OK,18,1017,US,,,NaT,OK,,,READY,,,TULSA,NET 30,AAON INC,+19185832266,,HIGH,100,,,OK,2425 S YUKON AVE,,Cindi Hutton,,000-000-0000,2425 S YUKON AVE,,AAON INC,741013067,,,,OK,Cindi Hutton,
Airetech,Y,27675,RALEIGH,Y,NC,19,1018,US,,,NaT,NC,,,READY,,,RALEIGH,NET 30,ABB,,,MEDIUM,70,,,,PO BOX 90273,,,,,PO BOX 90273,,ABB,27675,,,,,,
