Due Date,Trx Date,Po Number,Payment Term,Invoice Amount,Customer Address,Salesperson Name,Transaction Type,Trx Number/ Cross Ref,Sales credit percentage,Customer Name (Only Bill to/ No Ship To)
Due Date,Date,P. O. #,Terms,Open Balance,Name Address,,Type,Num,,Name
2026-03-08 00:00:00,2026-02-06 00:00:00,Microsoft EAT12,Net 30,5066.89,"Attn: Austin Koerner PO Box 410 Schofield, WI 54476",House Account,Invoice,245224,1,Greenheck Fan Corporation
2026-03-28 00:00:00,2026-02-26 00:00:00,Microsoft EAT12,Net 30,10439,"Attn: Austin Koerner PO Box 410 Schofield, WI 54476",House Account,Invoice,246070,1,Greenheck Fan Corporation
2026-02-28 00:00:00,2026-01-29 00:00:00,690185,Net 30,197.9,"PO Box 47983 Seattle, WA 98146 USA",House Account,Invoice,244299,1,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects"
2026-02-28 00:00:00,2026-01-29 00:00:00,690185,Net 30,55.28,"PO Box 47983 Seattle, WA 98146 USA",House Account,Invoice,244299-1,1,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects"
2026-02-28 00:00:00,2026-01-29 00:00:00,690185,Net 30,81.34,"PO Box 47983 Seattle, WA 98146 USA",House Account,Invoice,244299-2,1,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects"
2026-02-28 00:00:00,2026-01-29 00:00:00,25-484,Net 30,123.65,"430 SW 153rd St Burien, WA 98166 USA",House Account,Invoice,244776-1,1,Enviromech:Enviromech - Special Projects
2026-02-28 00:00:00,2026-01-29 00:00:00,25-484,Net 30,77.46,"430 SW 153rd St Burien, WA 98166 USA",House Account,Invoice,244776,1,Enviromech:Enviromech - Special Projects
2026-02-28 00:00:00,2026-01-29 00:00:00,670505,Net 30,90.35,"PO Box 47983 Seattle, WA 98146 USA",House Account,Invoice,244706,1,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects"
2026-02-28 00:00:00,2026-01-29 00:00:00,670145,Net 30,430.48,"PO Box 47983 Seattle, WA 98146 USA",House Account,Invoice,244704,1,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects"
2026-02-28 00:00:00,2026-01-29 00:00:00,689703,Net 30,602.8,"PO Box 47983 Seattle, WA 98146 USA",House Account,Invoice,244625,1,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects"
2026-02-28 00:00:00,2026-01-29 00:00:00,305597,Net 30,32.12,"1420 Maple Ave SW Renton, WA 98057 USA",House Account,Invoice,244382,1,Vital Mechanical Service:Vit-Vital Mechanical Special Projects
2026-02-28 00:00:00,2026-01-29 00:00:00,305597,Net 30,217.36,"1420 Maple Ave SW Renton, WA 98057 USA",House Account,Invoice,244382-1,1,Vital Mechanical Service:Vit-Vital Mechanical Special Projects
2026-03-11 00:00:00,2026-02-09 00:00:00,Car Wash,Net 30,1896,"4426 221st Place NE Redmond, WA 98053 USA",House Account,Invoice,245163,1,Perfect Climate:Perfect Climate GOF
2026-02-28 00:00:00,2026-01-29 00:00:00,60940726,Net 30,99,"C/o Dorse & Company 5000 1st Ave S Seattle, WA 98134",House Account,Invoice,244695,1,Acco Engineered Systems (401856):ACC-ACCO Small Projects (401856)
2026-02-28 00:00:00,2026-01-29 00:00:00,Klee Lofts,Net 30,240.06,"PO Box 760 Sumner, WA 98390 USA",House Account,Invoice,244666,1,Farrington Air Quality Services
2026-02-28 00:00:00,2026-01-29 00:00:00,689898,Net 30,264,"PO Box 47983 Seattle, WA 98146 USA",House Account,Invoice,244624,1,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects"
2026-02-28 00:00:00,2026-01-29 00:00:00,706608,Net 30,57.49,"19430 68Th Ave S Suite B Kent, WA 98032",House Account,Invoice,244637,1,Key Mechanical - WA:Key-Small Projects
2026-02-28 00:00:00,2026-01-29 00:00:00,690477,Net 30,402,"PO Box 47983 Seattle, WA 98146 USA",House Account,Invoice,244721,1,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects"
2026-02-28 00:00:00,2026-01-29 00:00:00,706544,Net 30,1160,"19430 68Th Ave S Suite B Kent, WA 98032",House Account,Invoice,244636,1,Key Mechanical - WA:Key-Small Projects
2026-02-28 00:00:00,2026-01-29 00:00:00,689555,Net 30,736,"PO Box 47983 Seattle, WA 98146 USA",House Account,Invoice,244592,1,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects"
2026-02-28 00:00:00,2026-01-29 00:00:00,2333-2720,Net 30,1255.8,"2428 King George Boulevard Surrey, BC V4P 1H5 CANADA",House Account,Invoice,244738,1,Ocean Park Mechanical Inc:OCE-1200 Stewart
