AR Reconciliation Report — Source (QuickBooks) vs Target (Oracle),Unnamed: 1,Unnamed: 2
Tolerance applied: $0.01  |  Match key: Transaction Number + Transaction Type,,
,,
Metric,Count,Amount
Total records - Source (clean),1746,5024712.33
Total records - Target (clean),1718,4971610.35
Grouped keys - Source,1746,5024712.33
Grouped keys - Target,1718,4971610.35
"Matched (Tier 1, exact key & amount)",1717,4971736.54
"Amount Mismatch (Tier 1, key matches, amount differs)",0,0
"Matched (Tier 2, suffix-variant key)",1,
Only in Source (unmatched),28,53101.98
Only in Target (unmatched),0,0
Source exceptions (bad ID / non-numeric amount / footer rows),4,
Target exceptions (bad ID / non-numeric amount),1,
Duplicate keys within Source,0,
Duplicate keys within Target,0,
,,
Grand Total — Source,,5024712.33
Grand Total — Target,,4971610.35
NET DIFFERENCE (Source - Target),,53101.98
