row_number,Opco,PartyNumber,entity_name_original,address1_original,address2_original,address3_original,city_original,state_original,zip_original,country_original,AddressBill-to_original,PhoneNumber1_original,PhoneNumber2_original,FaxNumber_original,ContactPerson1_original,TaxIdentifier_original,ContactPerson2_original,EmailAddress1_original,EmailAddress2_original,PaymentTerm_original,ShipTo_original,Bill-to_original,.,entity_name_ora,SITE1_address1_ora,SITE2_address1_ora,address2_ora,address3_ora,city_ora,state_ora,zip_ora,country_ora,PhoneNumber1_ora,PhoneNumber2_ora,FaxNumber_ora,ContactPerson1_ora,TaxIdentifier_ora,ContactPerson2_ora,EmailAddress1_ora,EmailAddress2_ora,PaymentTerm_ora,ShipTo_ora,Bill-to_ora,confidence_level,confidence_score,record_status,validated_at
2,CJBS,,ABM Building Services LLC,3607 Saunders Ave,,,Richmond,VA,23227,US,3607 Saunders Ave Richmond Virginia 23227 United States,,,,Matthew  Klipp,,,Matthew.Klipp@abm.com,,,Y,Y,,ABM BUILDING SERVICES LLC,3607 SAUNDERS AVE,,,,RICHMOND,VA,23227,US,,,,Matthew Klipp,,,matthew.klipp@abm.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:50:57
3,CJBS,,ABM Industry Group LLC,14141 Southwest Freeway,Suite 400,,Sugar Land,TX,77478,US,"14141 Southwest Freeway
Suite 400 Sugar Land TX 77478 USA",(757) 357-8060 ,,,,,,Frances.Scudder@abm.com,,,Y,Y,,ABM INDUSTRY GROUP LLC,14141 SWEST FREEWAY,,SUITE 400,,SUGAR LAND,TX,77478,US,+17573578060,+17573578060,,,,,frances.scudder@abm.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:50:59
4,CJBS,,Afton Scientific LLC,2020 Avon Court,,,Charlottesville,VA,22902,US,2020 Avon Court Charlottesville VA 22902 US,(434) 979-3737 ,,,,,,ap@aftonscientific.com,,,Y,Y,,AFTON SCIENTIFIC LLC,2020 AVON CT,,,,CHARLOTTESVILLE,VA,22902,US,+14349793737,+14349793737,,,,,ap@aftonscientific.com,,,Y,Y,LOW,100.0,REVIEW,NaT
5,CJBS,,Air-Pro Mechanical,14241 FARMERS WAY,,,ASHLAND,VA,23005,US,,,,,,,,lisa.western@airprova.com,,,,Y,,AIR-PRO MECHANICAL,14241 FARMERS WAY,,,,ASHLAND,VA,23005,US,,,,,,,lisa.western@airprova.com,,,,Y,LOW,100.0,REVIEW,NaT
6,CJBS,,Albemarle Charlottesville Regional Jail,160 Peregory Ln,,,Charlottesville,VA,22902,US,160 Peregory Ln Charlottesville VA 22902 US,,,,,,,Finance@acrj.org,,,Y,Y,,ALBEMARLE CHARLOTTESVILLE REGIONAL JAIL,160 PEREGORY LN,,,,CHARLOTTESVILLE,VA,22902,US,,,,,,,finance@acrj.org,,,Y,Y,LOW,100.0,REVIEW,NaT
7,CJBS,,ALDI Inc Petersburg,6801 Aldi Way,,,Petersburg,VA,23803,US,6801 Aldi Way Petersburg Virginia 23803 United States,(804) 362-0828 ,,,,,, APSS@aldi.us,,,Y,Y,,ALDI INC PETERSBURG,6801 ALDI WAY,,,,PETERSBURG,VA,23803,US,+18043620828,+18043620828,,,,, apss@aldi.us,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:51:08
8,CJBS,,Amentum,,,,,,,US,,,,,,,,,,,,Y,,AMENTUM,,,,,,,,US,,,,,,,,,,,Y,LOW,20.0,INVALID,NaT
9,CJBS,,Ameritech Test & Balance (C),6553 Main St,Suite 200,,Gloucester,VA,23061,US,6553 Main St. Suite 200 Gloucester VA 23061,(804) 815-1524,,,,,,jcronebalance@aol.com,,,Y,Y,,AMERITECH TEST & BALANCE (C),6553 MAIN ST,,SUITE 200,,GLOUCESTER,VA,23061,US,+18048151524,+18048151524,,,,,jcronebalance@aol.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:51:12
10,CJBS,,Ashland Specialty Ingredients GP,PO BOX 2219,,,Columbus,OH,43216-2219,US,PO Box 2219 Columbus OH 43216-2219,,,,,,,nacoupainvoice@ashland.com,,,Y,Y,,ASHLAND SPECIALTY INGREDIENTS GP,PO BOX 2219,,,,COLUMBUS,OH,43216-2219,US,,,,,,,nacoupainvoice@ashland.com,,,Y,Y,MEDIUM,70.0,REVIEW,NaT
11,CJBS,,ASRC Federal Systems Solutions Inc,10050 Blossom Point Rd,,,Welcome,MD,20693,US,10050 Blossom Point Rd. Welcome Maryland 20693 united states,,,,"ASRC Federal Systems Solutions, Inc.",,,APinvoices@asrcfederal.com,,,Y,Y,,ASRC FEDERAL SYSTEMS SOLUTIONS INC,10050 BLOSSOM POINT RD,,,,WELCOME,MD,20693,US,,,,,,,apinvoices@asrcfederal.com,,,Y,Y,LOW,100.0,REVIEW,NaT
