Unnamed: 0,Unnamed: 1,Invoice Type,Invoice date,Invoice Number,Unnamed: 6,Payment Terms,Due Date,Unnamed: 9,Invoice Amount,Branch,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
Vendor Name,Name Contact,Type,Issue Date,Invoice Number,Memo,Terms,Due Date,Age,Open Balance,Class,,Source Account,Source Product Line,Source Description,DR Description,Source Product Line Desc,Source Branch desc,,,Oracle BU,Oracle Branch,Oracle LOB,Oracle Dept,Oracle Account,Oracle IC,Oracle Addback,Oracle Prodline,Oracle Future,GL Account
American Louver Company-WA,,Bill,2026-02-17 00:00:00,266546,FB: PO# - 26-11019,Net 30,46100,11,2602.1,Seattle,,1203,Air Distribution,1203 · Commodity Inventory,Seattle,,,,,1510,1601,100,000,115101,0000,000,0000,0000,1510.1601.100.000.115101.0000.000.0000.0000
Cascade Wholesale Hardware Inc-1,,Bill,2026-02-23 00:00:00,6377849-00,FB: PO# - 26-11242,Net 30,46106,5,299.76,Seattle,,1203,Air Distribution,1203 · Commodity Inventory,,,,,,1510,1601,100,000,115101,0000,000,0000,0000,1510.1601.100.000.115101.0000.000.0000.0000
Design Polymerics,,Bill,2026-02-09 00:00:00,259616 X Partial Shi,FB: PO# - 26-10140,1% 10 Net 30,46092,19,8145,Seattle,,1203,Air Distribution,1203 · Commodity Inventory,,,,,,1510,1601,100,000,115101,0000,000,0000,0000,1510.1601.100.000.115101.0000.000.0000.0000
Duro Dyne Corp,,Bill,2026-02-11 00:00:00,3141684,FB: PO# - 26-10964,Net 30,46094,17,3399.02,Seattle,,1203,Air Distribution,1203 · Commodity Inventory,,,,,,1510,1601,100,000,115101,0000,000,0000,0000,1510.1601.100.000.115101.0000.000.0000.0000
Ecco Manufacturing-WA,,Bill,2026-02-13 00:00:00,74485,FB: PO# - 26-10390,2% 15 Net 30,46096,15,615,Seattle,,1203,Air Distribution,1203 · Commodity Inventory,,,,,,1510,1601,100,000,115101,0000,000,0000,0000,1510.1601.100.000.115101.0000.000.0000.0000
Ecco Manufacturing-WA,,Bill,2026-02-13 00:00:00,74514,FB: PO# - 26-11002,2% 15 Net 30,46096,15,185.99,Seattle,,1203,Air Distribution,1203 · Commodity Inventory,,,,,,1510,1601,100,000,115101,0000,000,0000,0000,1510.1601.100.000.115101.0000.000.0000.0000
Ecco Manufacturing-WA,,Bill,2026-02-24 00:00:00,75315,FB: PO# - 26-11211,2% 15 Net 30,46107,4,1664.05,Seattle,,1203,Air Distribution,1203 · Commodity Inventory,,,,,,1510,1601,100,000,115101,0000,000,0000,0000,1510.1601.100.000.115101.0000.000.0000.0000
Fastenal Company,,Bill,2026-02-09 00:00:00,WASE382545,FB: PO# - 26-10854,Net 30,46092,19,120.26,Seattle,,1203,Air Distribution,1203 · Commodity Inventory,,,,,,1510,1601,100,000,115101,0000,000,0000,0000,1510.1601.100.000.115101.0000.000.0000.0000
Fastenal Company,,Bill,2026-02-12 00:00:00,WASE382595,FB: PO# - 26-10854,Net 30,46095,16,705,Seattle,,1203,Air Distribution,1203 · Commodity Inventory,,,,,,1510,1601,100,000,115101,0000,000,0000,0000,1510.1601.100.000.115101.0000.000.0000.0000
Fresh Air Manufacturing Co Inc,,Bill,2026-02-20 00:00:00,0731026-IN,FB: PO# - 26-11081,Net 30,46103,8,3425.93,Seattle,,1203,Air Distribution,1203 · Commodity Inventory,,,,,,1510,1601,100,000,115101,0000,000,0000,0000,1510.1601.100.000.115101.0000.000.0000.0000
Greenheck Fan Corporation (v),,Bill,2026-02-21 00:00:00,95706454,FB: PO# - 26-10483,Net 60,46104,7,4577.56,Seattle,,1203,Air Distribution,1203 · Commodity Inventory,,,,,,1510,1601,100,000,115101,0000,000,0000,0000,1510.1601.100.000.115101.0000.000.0000.0000
Gripple Inc,Ross-A/R,Bill,2026-02-06 00:00:00,SI-323458,FB: PO# - 26-10699,1.5% 10 Net 30,46089,22,34391.36,Seattle,,1203,Air Distribution,1203 · Commodity Inventory,,,,,,1510,1601,100,000,115101,0000,000,0000,0000,1510.1601.100.000.115101.0000.000.0000.0000
Gripple Inc,Ross-A/R,Bill,2026-02-17 00:00:00,SI324005,FB: PO# - 26-11065,1.5% 10 Net 30,46100,11,20740,Seattle,,1203,Air Distribution,1203 · Commodity Inventory,,,,,,1510,1601,100,000,115101,0000,000,0000,0000,1510.1601.100.000.115101.0000.000.0000.0000
"Just Right Heating & Cooling, Inc",,Bill,2026-02-02 00:00:00,6334,FB: PO# - 26-10469,Net 30,46085,26,7119.4,Seattle,,1203,Air Distribution,1203 · Commodity Inventory,,,,,,1510,1601,100,000,115101,0000,000,0000,0000,1510.1601.100.000.115101.0000.000.0000.0000
Nystrom Inc,,Bill,2026-01-28 00:00:00,CI000067637,FB: PO# - 26-10102,Net 30,46080,31,1709.63,Seattle,,1203,Air Distribution,1203 · Commodity Inventory,,,,,,1510,1601,100,000,115101,0000,000,0000,0000,1510.1601.100.000.115101.0000.000.0000.0000
"Rainier Metal Works, LLC",,Bill,2026-01-30 00:00:00,22922,FB: PO# - 26-10414,Net 30,46082,29,15742.7,Seattle,,1203,Air Distribution,1203 · Commodity Inventory,,,,,,1510,1601,100,000,115101,0000,000,0000,0000,1510.1601.100.000.115101.0000.000.0000.0000
"Rainier Metal Works, LLC",,Bill,2026-02-13 00:00:00,23027,FB: PO# - 26-10856,Net 30,46096,15,5505.4,Seattle,,1203,Air Distribution,1203 · Commodity Inventory,,,,,,1510,1601,100,000,115101,0000,000,0000,0000,1510.1601.100.000.115101.0000.000.0000.0000
"Rainier Metal Works, LLC",,Bill,2026-02-20 00:00:00,23082,FB: PO# - 26-11069,Net 30,46103,8,783,Seattle,,1203,Air Distribution,1203 · Commodity Inventory,,,,,,1510,1601,100,000,115101,0000,000,0000,0000,1510.1601.100.000.115101.0000.000.0000.0000
Refrigeration Supplies Distributor,,Credit,2024-12-17 00:00:00,64197214-00,Repairs,Immediate,,438,-204.51,Seattle,,1203,Air Distribution,1203 · Commodity Inventory,,,,,,1510,1601,100,000,115101,0000,000,0000,0000,1510.1601.100.000.115101.0000.000.0000.0000
